Agreement ID,Status,Agreement Type
22-A-085,Active,Non-Exclusive License - Tangible Property
21-A-115,Active,Exclusive License - All Fields
21-A-117,Active,Non-Exclusive License - Tangible Property
22-A-071,Active,Non-Exclusive License - Tangible Property
21-A-120,Active,Non-Exclusive License - Field Limited
21-A-123,Active,Exclusive License - All Fields
22-A-013,Active,Exclusive License - All Fields
22-A-133,Active,Exclusive License - All Fields
22-A-056,Active,Exclusive License - All Fields
22-A-021,Active,Exclusive License - All Fields
22-A-025,Active,Non-Exclusive License - Field Limited
22-A-053,Active,Exclusive License - Field Limited
22-A-054,Active,Exclusive License - Field Limited
22-A-068,Active,Exclusive License - All Fields
22-A-103,Active,Non-Exclusive License - Tangible Property
22-A-121,Active,Non-Exclusive License - Tangible Property
22-A-126,Active,Exclusive License - All Fields
22-A-135,Active,Exclusive Option
22-A-137,Active,Exclusive Option
22-A-153,Active,Non-Exclusive License - Tangible Property
22-A-184,Active,Non-Exclusive License - Field Limited
22-A-185,Active,Non-Exclusive License - Field Limited
23-A-003,Active,Non-Exclusive License - Tangible Property
22-A-196,Active,Non-Exclusive License - Tangible Property
22-A-197,Active,Non-Exclusive License - Tangible Property
21-A-218,Active,Exclusive License - All Fields
21-A-219,Active,Exclusive License - All Fields
21-A-220,Active,Exclusive License - All Fields
23-A-046,Active,Exclusive Option
22-A-207,Active,Non-Exclusive License - Tangible Property
23-A-031,Active,Exclusive Option
23-A-058,Active,Exclusive Option
23-A-030,Active,Non-Exclusive Option
23-A-055,Active,Exclusive Option
99-A-006,At Potential,Non-Exclusive License - All Fields
00-A-008,At Potential,Non-Exclusive License - All Fields
00-A-013,At Potential,Non-Exclusive License - All Fields
00-A-014,At Potential,Non-Exclusive License - All Fields
01-A-001,At Potential,Non-Exclusive License - All Fields
01-A-005,At Potential,Non-Exclusive License - All Fields
01-A-009,At Potential,Non-Exclusive License - All Fields
01-A-011,At Potential,Non-Exclusive License - All Fields
01-A-016,At Potential,Non-Exclusive License - All Fields
01-A-018,At Potential,Non-Exclusive License - All Fields
01-A-019,At Potential,Non-Exclusive License - All Fields
01-A-021,At Potential,Non-Exclusive License - All Fields
02-A-002,At Potential,Non-Exclusive License - All Fields
02-A-015,At Potential,Non-Exclusive License - All Fields
02-A-021,At Potential,Non-Exclusive License - All Fields
03-A-002,At Potential,Non-Exclusive License - All Fields
03-A-005,At Potential,Non-Exclusive License - All Fields
03-A-006,At Potential,Non-Exclusive License - All Fields
03-A-008,At Potential,Non-Exclusive License - All Fields
03-A-009,At Potential,Non-Exclusive License - All Fields
03-A-012,At Potential,Non-Exclusive License - All Fields
04-A-004,At Potential,Non-Exclusive License - All Fields
04-A-013,At Potential,Non-Exclusive License - All Fields
04-A-016,At Potential,Non-Exclusive License - All Fields
05-A-001,At Potential,Non-Exclusive License - All Fields
05-A-003,At Potential,Non-Exclusive License - All Fields
05-A-005,At Potential,Non-Exclusive License - All Fields
05-A-012,At Potential,Non-Exclusive License - All Fields
06-A-007,At Potential,Non-Exclusive License - All Fields
06-A-012,At Potential,Non-Exclusive License - All Fields
07-A-005,At Potential,Non-Exclusive License - All Fields
07-A-006,At Potential,Non-Exclusive License - All Fields
07-A-009,At Potential,Non-Exclusive License - All Fields
08-A-006,At Potential,Non-Exclusive License - All Fields
10-A-006,At Potential,Non-Exclusive License - All Fields
12-A-008,At Potential,Non-Exclusive License - All Fields
13-A-039,At Potential,Non-Exclusive License - All Fields
13-A-083,At Potential,Non-Exclusive License - All Fields
14-A-111,At Potential,Non-Exclusive License - All Fields
16-A-016,At Potential,Non-Exclusive License - All Fields
17-A-102,At Potential,Non-Exclusive License - All Fields
02-A-038,At Potential,Exclusive License - All Fields
03-A-025,At Potential,Non-Exclusive License - All Fields
03-A-026,At Potential,Non-Exclusive License - All Fields
04-A-024,At Potential,Exclusive License - All Fields
05-A-026,At Potential,Non-Exclusive License - All Fields
05-A-033,At Potential,Non-Exclusive License - All Fields
05-A-056,At Potential,Non-Exclusive License - All Fields
06-A-040,At Potential,Non-Exclusive License - All Fields
06-A-043,At Potential,Non-Exclusive License - All Fields
07-A-018,At Potential,Non-Exclusive License - All Fields
07-A-022,At Potential,Non-Exclusive License - All Fields
07-A-027,At Potential,Non-Exclusive License - All Fields
07-A-068,At Potential,Non-Exclusive License - All Fields
07-A-082,At Potential,Non-Exclusive License - All Fields
10-A-031,At Potential,Non-Exclusive License - All Fields
10-A-033,At Potential,Non-Exclusive License - All Fields
10-A-044,At Potential,Non-Exclusive License - All Fields
10-A-091,At Potential,Non-Exclusive License - All Fields
11-A-009,At Potential,Non-Exclusive License - All Fields
11-A-012,At Potential,Non-Exclusive License - All Fields
11-A-029,At Potential,Non-Exclusive License - All Fields
11-A-031,At Potential,Non-Exclusive License - All Fields
11-A-053,At Potential,Non-Exclusive License - All Fields
11-A-054,At Potential,Exclusive License - Field Limited
11-A-075,At Potential,Non-Exclusive License - All Fields
12-A-063,At Potential,Non-Exclusive License - All Fields
12-A-065,At Potential,Non-Exclusive License - All Fields
12-A-087,At Potential,Non-Exclusive License - All Fields
12-A-105,At Potential,Non-Exclusive License - All Fields
12-A-108,At Potential,Non-Exclusive License - All Fields
13-A-143,At Potential,Exclusive License - All Fields
15-A-319,At Potential,Non-Exclusive License - All Fields
15-A-337,At Potential,Non-Exclusive License - All Fields
15-A-342,At Potential,Exclusive License - All Fields
15-A-348,At Potential,Non-Exclusive License - All Fields
15-A-351,At Potential,Non-Exclusive License - All Fields
16-A-148,At Potential,Non-Exclusive License - All Fields
16-A-175,At Potential,Non-Exclusive License - All Fields
16-A-176,At Potential,Exclusive Option
16-A-187,At Potential,Non-Exclusive License - All Fields
16-A-188,At Potential,Non-Exclusive License - All Fields
16-A-191,At Potential,Non-Exclusive License - All Fields
16-A-194,At Potential,Exclusive License - All Fields
17-A-119,At Potential,Non-Exclusive License - All Fields
17-A-120,At Potential,Non-Exclusive License - All Fields
17-A-123,At Potential,Non-Exclusive License - All Fields
17-A-133,At Potential,Non-Exclusive License - All Fields
17-A-139,At Potential,Non-Exclusive License - All Fields
17-A-155,At Potential,Non-Exclusive License - All Fields
18-A-026,At Potential,Non-Exclusive License - All Fields
18-A-382,At Potential,Non-Exclusive License - All Fields
13-A-300,At Potential,Non-Exclusive License - All Fields
05-A-069,At Potential,Non-Exclusive License - All Fields
12-A-127,At Potential,Non-Exclusive License - All Fields
13-A-301,At Potential,Non-Exclusive License - All Fields
10-A-107,At Potential,Non-Exclusive License - All Fields
12-A-130,At Potential,Non-Exclusive License - All Fields
18-A-427,At Potential,Non-Exclusive License - All Fields
18-A-431,At Potential,Non-Exclusive License - All Fields
18-A-446,At Potential,Non-Exclusive License - Tangible Property
18-A-743,At Potential,Non-Exclusive License - Tangible Property
19-A-0013,At Potential,Exclusive License - All Fields
19-A-0036,At Potential,Non-Exclusive License - All Fields
19-A-0098,At Potential,Non-Exclusive License - All Fields
19-A-0123,At Potential,Non-Exclusive License - All Fields
20-A-0023,At Potential,Non-Exclusive License - Field Limited
21-A-034,At Potential,Non-Exclusive License - All Fields
21-A-023,At Potential,Non-Exclusive License - Tangible Property
21-A-124,At Potential,Non-Exclusive License - All Fields
21-A-145,At Potential,Non-Exclusive License - All Fields
22-A-077,At Potential,Non-Exclusive License - Tangible Property
22-A-097,At Potential,Non-Exclusive License - Tangible Property
23-A-070,At Potential,Non-Exclusive License - All Fields
18-A-1129,Negotiation Ended,Non-Exclusive License - All Fields
19-A-0041,Negotiation Ended,Non-Exclusive License - Tangible Property
19-A-0043,Negotiation Ended,Exclusive License - Field Limited
19-A-0052,Negotiation Ended,Non-Exclusive License - All Fields
19-A-0084,Negotiation Ended,Exclusive License - All Fields
19-A-0092,Negotiation Ended,Exclusive License - UCGo!
19-A-0096,Negotiation Ended,Exclusive License - All Fields
19-A-0101,Negotiation Ended,Exclusive License - UCGo!
19-A-0113,Negotiation Ended,Exclusive License - Field Limited
19-A-0114,Negotiation Ended,Non-Exclusive License - Field Limited
19-A-0115,Negotiation Ended,Exclusive License - Field Limited
19-A-0120,Negotiation Ended,Exclusive License - All Fields
20-A-0031,Negotiation Ended,Non-Exclusive License - Field Limited
20-A-0081,Negotiation Ended,Exclusive License - All Fields
20-A-0082,Negotiation Ended,Exclusive License - All Fields
20-A-0087,Negotiation Ended,Exclusive License - Field Limited
20-A-0125,Negotiation Ended,Exclusive License - Field Limited
20-A-0127,Negotiation Ended,Non-Exclusive License - Field Limited
20-A-0140,Negotiation Ended,Exclusive License - Field Limited
21-A-068,Negotiation Ended,Exclusive License - UCGo!
21-A-075,Negotiation Ended,Exclusive License - Field Limited
22-A-075,Negotiation Ended,Exclusive License - All Fields
22-A-001,Negotiation Ended,Exclusive License - All Fields
22-A-018,Negotiation Ended,Non-Exclusive License - Tangible Property
22-A-070,Negotiation Ended,Exclusive License - Field Limited
22-A-096,Negotiation Ended,Non-Exclusive License - Tangible Property
22-A-130,Negotiation Ended,Exclusive License - All Fields
84-A-001,Terminated,Exclusive License - All Fields
86-A-001,Terminated,Exclusive License - All Fields
87-A-001,Terminated,Exclusive License - All Fields
87-A-002,Terminated,Co-Exclusive License
87-A-003,Terminated,Exclusive License - All Fields
87-A-004,Terminated,Non-Exclusive License - All Fields
88-A-001,Terminated,Exclusive License - All Fields
88-A-002,Terminated,Exclusive License - All Fields
88-A-004,Terminated,Non-Exclusive License - All Fields
88-A-005,Terminated,Non-Exclusive License - All Fields
88-A-006,Terminated,Exclusive License - All Fields
89-A-001,Terminated,Exclusive License - All Fields
89-A-002,Terminated,Exclusive License - All Fields
88-A-006.A1,Terminated,Exclusive License - All Fields
89-A-005,Terminated,Exclusive License - All Fields
89-A-007,Terminated,Exclusive License - All Fields
90-A-001,Terminated,Exclusive License - All Fields
90-A-002,Terminated,Non-Exclusive License - All Fields
90-A-003,Terminated,Exclusive License - All Fields
90-A-004,Terminated,Non-Exclusive License - All Fields
90-A-005,Terminated,Exclusive License - All Fields
90-A-006,Terminated,Exclusive License - All Fields
90-A-009,Terminated,Exclusive License - All Fields
90-A-010,Terminated,Exclusive License - All Fields
90-A-011,Terminated,Exclusive License - All Fields
90-A-012,Terminated,Exclusive License - All Fields
90-A-013,Terminated,Exclusive License - All Fields
90-A-016,Terminated,Exclusive License - All Fields
91-A-001,Terminated,Exclusive License - All Fields
91-A-002,Terminated,Non-Exclusive Option
91-A-003,Terminated,Non-Exclusive License - All Fields
91-A-004,Terminated,Exclusive License - All Fields
91-A-005,Terminated,Exclusive License - All Fields
91-A-006,Terminated,Non-Exclusive License - All Fields
91-A-007,Terminated,Non-Exclusive License - All Fields
91-A-008,Terminated,Exclusive License - All Fields
91-A-009,Terminated,Non-Exclusive License - All Fields
91-A-010,Terminated,Exclusive License - All Fields
91-A-011,Terminated,Non-Exclusive License - All Fields
91-A-012,Terminated,Exclusive License - All Fields
92-A-001,Terminated,Exclusive License - All Fields
92-A-002,Terminated,Exclusive License - All Fields
92-A-003,Terminated,Exclusive License - All Fields
92-A-004,Terminated,Non-Exclusive License - All Fields
92-A-008,Terminated,Exclusive Option
92-A-010,Terminated,Exclusive License - All Fields
92-A-013,Terminated,Non-Exclusive Option
93-A-001,Terminated,Exclusive Option
93-A-003,Terminated,Exclusive License - All Fields
93-A-004,Terminated,Exclusive License - All Fields
93-A-005,Terminated,Exclusive License - All Fields
93-A-008,Terminated,Exclusive License - All Fields
93-A-011,Terminated,Non-Exclusive License - All Fields
93-A-013,Terminated,Exclusive License - All Fields
93-A-014,Terminated,Exclusive License - All Fields
94-A-001,Terminated,Exclusive License - All Fields
94-A-007,Terminated,Non-Exclusive License - All Fields
94-A-008,Terminated,Exclusive License - All Fields
94-A-011,Terminated,Exclusive License - All Fields
94-A-013,Terminated,Exclusive Option
94-A-014,Terminated,Exclusive Option
95-A-002,Terminated,Exclusive License - All Fields
95-A-006,Terminated,Exclusive Option
95-A-009,Terminated,Non-Exclusive License - All Fields
95-A-011,Terminated,Non-Exclusive License - All Fields
96-A-002,Terminated,Exclusive Option
96-A-003,Terminated,Exclusive License - All Fields
96-A-005,Terminated,Non-Exclusive License - All Fields
97-A-003,Terminated,Exclusive License - All Fields
97-A-006,Terminated,Exclusive License - All Fields
97-A-007,Terminated,Exclusive License - All Fields
97-A-009,Terminated,Exclusive License - All Fields
97-A-010,Terminated,Exclusive Option
97-A-013,Terminated,Exclusive License - All Fields
97-A-014,Terminated,Exclusive License - All Fields
97-A-015,Terminated,Exclusive License - All Fields
98-A-002,Terminated,Exclusive License - All Fields
98-A-005,Terminated,Exclusive Option
98-A-006,Terminated,Non-Exclusive License - All Fields
98-A-007,Terminated,Exclusive License - All Fields
98-A-009,Terminated,Co-Exclusive License
98-A-013,Terminated,Non-Exclusive License - All Fields
99-A-005,Terminated,Exclusive License - All Fields
99-A-007,Terminated,Exclusive License - All Fields
99-A-009,Terminated,Exclusive License - All Fields
99-A-010,Terminated,Exclusive License - All Fields
99-A-011,Terminated,Exclusive License - All Fields
00-A-002,Terminated,Exclusive License - All Fields
00-A-003,Terminated,Exclusive License - All Fields
00-A-009,Terminated,Exclusive License - All Fields
00-A-012,Terminated,Exclusive Option
01-A-002,Terminated,Exclusive License - All Fields
01-A-003,Terminated,Exclusive Option
01-A-004,Terminated,Exclusive Option
01-A-007,Terminated,Exclusive License - All Fields
01-A-008,Terminated,Exclusive License - All Fields
01-A-010,Terminated,Non-Exclusive License - All Fields
01-A-013,Terminated,Exclusive Option
01-A-014,Terminated,Non-Exclusive License - All Fields
01-A-015,Terminated,Exclusive License - All Fields
01-A-017,Terminated,Exclusive Option
01-A-020,Terminated,Exclusive License - All Fields
02-A-001,Terminated,Exclusive Option
02-A-007,Terminated,Exclusive License - All Fields
02-A-011,Terminated,Exclusive License - All Fields
02-A-013,Terminated,Exclusive Option
02-A-014,Terminated,Exclusive License - All Fields
02-A-018,Terminated,Non-Exclusive License - All Fields
02-A-022,Terminated,Exclusive Option
03-A-013,Terminated,Exclusive Option
04-A-002,Terminated,Exclusive Option
04-A-003,Terminated,Exclusive License - All Fields
04-A-005,Terminated,Exclusive License - All Fields
04-A-006,Terminated,Exclusive License - All Fields
04-A-007,Terminated,Non-Exclusive License - All Fields
04-A-009,Terminated,Exclusive License - All Fields
04-A-015,Terminated,Exclusive License - All Fields
05-A-002,Terminated,Exclusive License - All Fields
05-A-007,Terminated,Exclusive Option
05-A-010,Terminated,Exclusive Option
05-A-011,Terminated,Exclusive Option
06-A-004,Terminated,Exclusive License - All Fields
06-A-009,Terminated,Exclusive License - All Fields
09-A-002,Terminated,Exclusive License - All Fields
11-A-003,Terminated,Non-Exclusive License - All Fields
14-A-073,Terminated,Exclusive License - All Fields
16-A-024,Terminated,Exclusive Option
89-A-011,Terminated,Non-Exclusive License - Tangible Property
90-A-017,Terminated,Non-Exclusive License - Tangible Property
90-A-018,Terminated,Exclusive License - All Fields
91-A-016,Terminated,Exclusive License - All Fields
90-A-020,Terminated,Non-Exclusive License - All Fields
91-A-017,Terminated,Non-Exclusive License - All Fields
91-A-018,Terminated,Non-Exclusive License - All Fields
92-A-015,Terminated,Exclusive License - All Fields
94-A-018,Terminated,Non-Exclusive License - All Fields
96-A-009,Terminated,Exclusive License - All Fields
97-A-017,Terminated,Exclusive License - Field Limited
97-A-021,Terminated,Exclusive License - All Fields
97-A-022,Terminated,Exclusive License - All Fields
98-A-015,Terminated,Non-Exclusive License - Tangible Property
93-A-021,Terminated,Exclusive License - All Fields
00-A-025,Terminated,Exclusive License - All Fields
00-A-027,Terminated,Exclusive License - All Fields
01-A-023,Terminated,Exclusive License - All Fields
01-A-024,Terminated,Exclusive License - All Fields
01-A-025,Terminated,Exclusive License - All Fields
01-A-026,Terminated,Non-Exclusive License - Tangible Property
01-A-036,Terminated,Exclusive License - All Fields
01-A-039,Terminated,Exclusive License - All Fields
02-A-039,Terminated,Exclusive License - All Fields
02-A-043,Terminated,Exclusive License - All Fields
02-A-047,Terminated,Non-Exclusive License - Tangible Property
03-A-018,Terminated,Exclusive License - All Fields
03-A-027,Terminated,Exclusive License - Tangible Property
03-A-031,Terminated,Non-Exclusive License - All Fields
03-A-032,Terminated,Exclusive License - All Fields
03-A-034,Terminated,Exclusive License - All Fields
03-A-039,Terminated,Exclusive License - All Fields
03-A-049,Terminated,Non-Exclusive License - Tangible Property
03-A-050,Terminated,Exclusive License - All Fields
04-A-018,Terminated,Non-Exclusive License - All Fields
04-A-019,Terminated,Non-Exclusive License - All Fields
04-A-025,Terminated,Exclusive License - All Fields
04-A-029,Terminated,Exclusive License - All Fields
05-A-027,Terminated,Exclusive License - All Fields
05-A-039,Terminated,Exclusive License - All Fields
05-A-040,Terminated,Exclusive License - All Fields
05-A-041,Terminated,Exclusive License - All Fields
05-A-055,Terminated,Exclusive License - All Fields
05-A-057,Terminated,Exclusive License - Field Limited
05-A-060,Terminated,Exclusive License - Field Limited
05-A-065,Terminated,Non-Exclusive License - All Fields
06-A-048,Terminated,Non-Exclusive License - All Fields
06-A-052,Terminated,Non-Exclusive License - All Fields
07-A-026,Terminated,Exclusive License - All Fields
07-A-029,Terminated,Non-Exclusive License - Field Limited
07-A-034,Terminated,Non-Exclusive License - Tangible Property
07-A-036,Terminated,Non-Exclusive License - All Fields
07-A-059,Terminated,Exclusive License - All Fields
08-A-020,Terminated,Exclusive License - All Fields
08-A-034,Terminated,Exclusive License - All Fields
10-A-035,Terminated,Non-Exclusive License - Tangible Property
10-A-043,Terminated,Exclusive License - All Fields
10-A-046,Terminated,Non-Exclusive License - Tangible Property
10-A-052,Terminated,Exclusive License - All Fields
10-A-078,Terminated,Exclusive License - All Fields
10-A-089,Terminated,Exclusive License - All Fields
10-A-090,Terminated,Exclusive License - All Fields
10-A-097,Terminated,Exclusive License - All Fields
10-A-100,Terminated,Exclusive License - All Fields
10-A-102,Terminated,Exclusive License - All Fields
11-A-017,Terminated,Exclusive License - All Fields
11-A-058,Terminated,Exclusive License - All Fields
12-A-089,Terminated,Exclusive License - All Fields
12-A-100,Terminated,Exclusive License - All Fields
12-A-114,Terminated,Exclusive License - All Fields
12-A-121,Terminated,Exclusive License - All Fields
12-A-122,Terminated,Exclusive License - All Fields
13-A-165,Terminated,Non-Exclusive License - All Fields
13-A-169,Terminated,Non-Exclusive License - Tangible Property
14-A-181,Terminated,Exclusive Option
14-A-186,Terminated,Exclusive License - All Fields
14-A-190,Terminated,Non-Exclusive License - Tangible Property
14-A-193,Terminated,Exclusive License - All Fields
14-A-200,Terminated,Exclusive License - All Fields
14-A-209,Terminated,Non-Exclusive License - All Fields
14-A-214,Terminated,Exclusive License - All Fields
15-A-344,Terminated,Exclusive License - All Fields
15-A-356,Terminated,Exclusive License - All Fields
16-A-141,Terminated,Exclusive License - All Fields
16-A-162,Terminated,Exclusive License - All Fields
16-A-164,Terminated,Exclusive License - UCGo!
16-A-171,Terminated,Non-Exclusive License - Tangible Property
16-A-184,Terminated,Exclusive License - Field Limited
16-A-186,Terminated,Exclusive License - All Fields
16-A-203,Terminated,Exclusive License - All Fields
16-A-204,Terminated,Exclusive License - All Fields
16-A-211,Terminated,Exclusive License - All Fields
17-A-128,Terminated,Exclusive License - All Fields
17-A-129,Terminated,Co-Exclusive License
17-A-140,Terminated,Co-Exclusive License
17-A-161,Terminated,Non-Exclusive License - Field Limited
17-A-172,Terminated,Exclusive License - All Fields
17-A-176,Terminated,Exclusive License - Field Limited
18-A-440,Terminated,Exclusive License - All Fields
18-A-1130,Terminated,Exclusive License - Field Limited
18-A-1310,Terminated,Exclusive License - All Fields
98-A-001,Terminated,Exclusive License - All Fields
18-A-1343,Terminated,Exclusive License - All Fields
19-A-0008,Terminated,Exclusive License - All Fields
19-A-0012,Terminated,Exclusive Option
20-A-0038,Terminated,Exclusive License - All Fields
22-A-047,Terminated,Non-Exclusive License - Tangible Property
