Tech ID,Title,Lic. Manager,NCS Author,Lead Inventor,Status,Disclosure Date,Upload to Tech Publisher,Inventor Assign Date,Lic. Manager Assign Date,Public Disclosure Date,Project,Created Date,Updated Date,Last Related Update,Archive Date,Division/Department,Owners,Account Numbers,Alternate Title,Categories,Comments,Distributed,Grants/Awards,Holdback,Interests,Invention ID,Inventors,IP Manager,NCS Date,NCS Status
03-T-001,Use of Ice Slurry Cooling for Organ Ischemia Protection During Minimally Invasive Surgery and Organ Harvesting/Transplant,"Juggernauth, Anne",,Kenneth Kasza,Closed/Inactive,,No,,,,,4/12/2018,11/10/2021,11/10/2021,###############################################################################################################################################################################################################################################################,"Argonne National Laboratory, Biological Sciences Division (BSD), Comprehensive Cancer Center, Surgery",University of Chicago,, ,,,0,,0,,03-D-001,"Lance Becker, David Beiser, Kenneth Kasza, Brett Laven, John Oras, Arieh Shalhav, HyunJin Son, Terry Vanden Hoek","Bakalyar, Heather",,
81-T-001,Solid Oxide Fuel  Cell Having Monolithic Core,"Unassigned, Unassigned",,,Closed/Inactive,,No,,,,,4/12/2018,10/2/2020,10/2/2020,###############################################################################################################################################################################################################################################################,,,, ,,,0,,0,,81-D-001,,"Unassigned, Unassigned",,
82-T-001,Sensor Array for Toxic Gas Detection,"Unassigned, Unassigned",,Joseph Stetter,Closed/Inactive,,No,,,,,4/12/2018,1/20/2019,1/20/2019,###############################################################################################################################################################################################################################################################,,University of Chicago,, ,,,0,,0,,82-D-001,"Melvin Findlay, William Penrose, Joseph Stetter, Solomon Zaromb","Unassigned, Unassigned",,
83-T-001,Electrochemical Methane Sensor,"Unassigned, Unassigned",,Joseph Stetter,Closed/Inactive,,No,,,,,4/12/2018,1/20/2019,1/20/2019,###############################################################################################################################################################################################################################################################,,University of Chicago,, ,,,0,,0,,83-D-001,"Takaaki Otagawa, Joseph Stetter, Solomon Zaromb","Unassigned, Unassigned",,
83-T-002,Manifolding Structure for Fuel Cell Having Parallel Gas Flow,"Unassigned, Unassigned",,,Closed/Inactive,,No,,,,,4/12/2018,10/2/2020,10/2/2020,###############################################################################################################################################################################################################################################################,University of Chicago,,, ,,,0,,0,,83-D-002,,"Unassigned, Unassigned",,
83-T-003,Solid Oxide Fuel Cell having Crossing flow core,"Unassigned, Unassigned",,,Closed/Inactive,,No,,,,,4/12/2018,10/2/2020,10/2/2020,###############################################################################################################################################################################################################################################################,University of Chicago,,, ,,,0,,0,,83-D-003,,"Unassigned, Unassigned",,
83-T-004,Serially connected solid Oxide Fuel Cells having Crossing Flow,"Unassigned, Unassigned",,,Closed/Inactive,,No,,,,,4/12/2018,10/2/2020,10/2/2020,###############################################################################################################################################################################################################################################################,,,, ,,,0,,0,,83-D-004,,"Unassigned, Unassigned",,
85-T-004,Dolis Oxide Fuel Cell with Monolithic Core,"Unassigned, Unassigned",,,Closed/Inactive,,No,,6/10/1986,,,4/12/2018,10/2/2020,10/2/2020,###############################################################################################################################################################################################################################################################,,,, ,,,0,,0,,85-D-004,,"Unassigned, Unassigned",,
85-T-005,Use of Fluoride Sintering Aids and B2-03 to Denify La-Cr-o,"Unassigned, Unassigned",,,Closed/Inactive,,No,,,,,4/12/2018,10/2/2020,10/2/2020,###############################################################################################################################################################################################################################################################,,,, ,,,0,,0,,85-D-005,,"Unassigned, Unassigned",,
85-T-006,Formation of Thin Walled Ceramic Solid Oxide Fuel Cells,"Unassigned, Unassigned",,Terry Claar,Closed/Inactive,,No,,12/10/1986,,,4/12/2018,1/20/2019,1/20/2019,###############################################################################################################################################################################################################################################################,,ARCH Development Corporation,, ,,,0,,0,,85-D-006,"Donald Busch, Terry Claar, John Picciolo","Unassigned, Unassigned",,
86-T-001,Method for the Concentration and Separation of Actinides from Biological and Environmental Samples,"Unassigned, Unassigned",,Phil Horwitz,Exclusively Licensed,,No,,,,,4/12/2018,11/17/2020,11/17/2020,###############################################################################################################################################################################################################################################################,Argonne National Laboratory,University of Chicago,, ,,,0,,0,,86-D-001,"Mark Dietz, Phil Horwitz","Hwang, Luke",,
86-T-003,Sintering Aid For Lanthanum Chromite Refactories,"Unassigned, Unassigned",,,Closed/Inactive,,No,,5/19/1986,,,4/12/2018,10/2/2020,10/2/2020,###############################################################################################################################################################################################################################################################,,,, ,,,0,,0,,86-D-003,,"Unassigned, Unassigned",,
86-T-004,Electromagnetic Confinement for Vertical Casting or Containing Molten Metal,"Unassigned, Unassigned",,Larry Turner,Closed/Inactive,,No,,6/17/1986,,,4/12/2018,1/20/2019,1/20/2019,###############################################################################################################################################################################################################################################################,,ARCH Development Corporation,, ,,,0,,0,,86-D-004,"Robert Lari, Walter Praeg, Larry Turner","Unassigned, Unassigned",,
86-T-005,Sidewall Containment of Liquid Metal with Vertical Alternating Magnetic Fields,"Unassigned, Unassigned",,Larry Turner,Closed/Inactive,,No,,,,,4/12/2018,1/20/2019,1/20/2019,###############################################################################################################################################################################################################################################################,"Biological Sciences Division (BSD), Molecular Genetics and Cell Biology",,, ,,,0,,0,,86-D-005,"James Battles, John Hull, Robert Lari, Terence Martin, Walter Praeg, Donald Rote, Larry Turner","Unassigned, Unassigned",,
86-T-006,Sidewall Containment of Liquid Metal with Horizontal Alternating Magnetic Fields,"Unassigned, Unassigned",,Walter Praeg,Closed/Inactive,,No,,,,,4/12/2018,1/20/2019,3/9/2020,###############################################################################################################################################################################################################################################################,,,, ,,,0,,0,,86-D-006,Walter Praeg,"Unassigned, Unassigned",,
86-T-008,"Triphenylethylene Radiohalogenated Compounds, Their Use IN Therapy","Unassigned, Unassigned",,,Closed/Inactive,,No,,,,,4/12/2018,10/2/2020,10/2/2020,###############################################################################################################################################################################################################################################################,,,, ,,,0,,0,,86-D-008,,"Unassigned, Unassigned",,
87-T-001,Preparation of Superconducting Materials,"Unassigned, Unassigned",,,Closed/Inactive,,No,,,,,4/12/2018,10/2/2020,10/2/2020,###############################################################################################################################################################################################################################################################,,,, ,,,0,,0,,87-D-001,,"Unassigned, Unassigned",,
87-T-002,Phosphonic Acids and Their Uses in Separation,"Unassigned, Unassigned",,Phil Horwitz,Exclusively Licensed,,No,,,,,4/12/2018,11/17/2020,11/17/2020,###############################################################################################################################################################################################################################################################,Argonne National Laboratory,University of Chicago,, ,,,0,,0,,87-D-002,"Ralph Gatrone, Phil Horwitz, Kenneth Nash","Hwang, Luke",,
87-T-003,Preferential Orientation of Metal Oxide Superconducting Materials,"Unassigned, Unassigned",,Roger Poeppel,Closed/Inactive,,No,,6/3/1987,,,4/12/2018,1/20/2019,1/20/2019,###############################################################################################################################################################################################################################################################,,,, ,,,0,,0,,87-D-003,"D. Capone, J. Dusek, Roger Poeppel","Unassigned, Unassigned",,
87-T-004,Preferential Orientation of Metal Oxide Superconducting Materials by Mechanical Means,"Unassigned, Unassigned",,D. Capone,Closed/Inactive,,No,,,,,4/12/2018,1/20/2019,1/20/2019,###############################################################################################################################################################################################################################################################,,ARCH Development Corporation,, ,,,0,,0,,87-D-004,D. Capone,"Unassigned, Unassigned",,
87-T-005,Magnetic Preferential Orientation of Metal Oxide Superconducting Materials,"Unassigned, Unassigned",,D. Capone,Closed/Inactive,,No,,,,,4/12/2018,1/20/2019,1/20/2019,###############################################################################################################################################################################################################################################################,,ARCH Development Corporation,, ,,,0,,0,,87-D-005,"D. Capone, Bobby Dunlap, Boyd Veal","Unassigned, Unassigned",,
87-T-006,Acoustic Plane Wave Preferential Orientation of Metal Oxide Superconducting Materials,"Unassigned, Unassigned",,Roger Poeppel,Closed/Inactive,,No,,,,,4/12/2018,1/20/2019,1/20/2019,###############################################################################################################################################################################################################################################################,,ARCH Development Corporation,, ,,,0,,0,,87-D-006,"Roger Poeppel, Thomas Tolt","Unassigned, Unassigned",,
87-T-007,Metal Oxide Superconducting Powder Comprised of Flake-Like Single Crystal Particles,"Unassigned, Unassigned",,D. Capone,Closed/Inactive,,No,,,,,4/12/2018,1/20/2019,1/20/2019,###############################################################################################################################################################################################################################################################,,ARCH Development Corporation,, ,,,0,,0,,87-D-007,"D. Capone, J. Dusek","Unassigned, Unassigned",,
87-T-008,Sputter Deposition for Multi-Component Thin Films,"Unassigned, Unassigned",,Alan Krauss,Closed/Inactive,,No,,11/18/1987,,,4/12/2018,1/20/2019,1/20/2019,###############################################################################################################################################################################################################################################################,,ARCH Development Corporation,, ,,,0,,0,,87-D-008,"Orlando Auciello, Alan Krauss","Unassigned, Unassigned",,
87-T-009,Molton Salt Electrolyte battery celln with overcharge tolerance,"Unassigned, Unassigned",,Thomas Kaun,Closed/Inactive,,No,,,,,4/12/2018,1/20/2019,1/20/2019,###############################################################################################################################################################################################################################################################,,ARCH Development Corporation,, ,,,0,,0,,87-D-009,"Thomas Kaun, Paul Nelson","Unassigned, Unassigned",,
88-T-001,Method of Bonding Metals to Ceramics,"Unassigned, Unassigned",,Victor Maroni,Closed/Inactive,,No,,,,,4/12/2018,1/20/2019,1/20/2019,###############################################################################################################################################################################################################################################################,,ARCH Development Corporation,, ,,,0,,0,,88-D-001,Victor Maroni,"Unassigned, Unassigned",,
88-T-002,High Temperature Crystalline Superconductors from Crystallized Glasses,"Unassigned, Unassigned",,Donglu Shi,Closed/Inactive,,No,,8/26/1988,,,4/12/2018,1/20/2019,1/20/2019,###############################################################################################################################################################################################################################################################,,ARCH Development Corporation,, ,,,0,,0,,88-D-002,Donglu Shi,"Unassigned, Unassigned",,
89-T-001,Binder Enhanced Refuse Derived Fuel,"Unassigned, Unassigned",,Oscar Ohlsson,Closed/Inactive,,No,,,,,4/12/2018,1/20/2019,1/20/2019,###############################################################################################################################################################################################################################################################,,University of Chicago,, ,,,0,,0,,89-D-001,"Kenneth Daugherty, Oscar Ohlsson, Barney Venables","Unassigned, Unassigned",,
89-T-002,High Temperature Superconductor Current Leads (As Issued),"Unassigned, Unassigned",,Roger Poeppel,Closed/Inactive,,No,,,,,4/12/2018,1/20/2019,1/20/2019,###############################################################################################################################################################################################################################################################,,ARCH Development Corporation,, ,,,0,,0,,89-D-002,"John Hull, Roger Poeppel","Unassigned, Unassigned",,
89-T-003,Phosphonic Acid Based Ion Exchange Resins,"Unassigned, Unassigned",,Phil Horwitz,Exclusively Licensed,,No,,7/13/1989,,,4/12/2018,11/17/2020,11/17/2020,###############################################################################################################################################################################################################################################################,Argonne National Laboratory,,, ,,,0,,0,,89-D-003,"Spiro Alexandratos, Renato Chiarizia, Ralph Gatrone, Phil Horwitz","Hwang, Luke",,
89-T-004,Moisture-Resistant Solid-Electrolyte Ambient-Temperature Amperometric Sensors,"Unassigned, Unassigned",,Solomon Zaromb,Closed/Inactive,,No,,,,,4/12/2018,1/20/2019,1/20/2019,###############################################################################################################################################################################################################################################################,,University of Chicago,, ,,,0,,0,,89-D-004,Solomon Zaromb,"Unassigned, Unassigned",,
89-T-005,Method of Making Nanocrystalline Alpha Lumina,"Unassigned, Unassigned",,Jeffrey Eastman,Closed/Inactive,,No,,,,,4/12/2018,10/19/2018,3/9/2020,###############################################################################################################################################################################################################################################################,,University of Chicago,, ,,,0,,0,,89-D-005,"Jeffrey Eastman, Horst Hahn, William Nieman, Richard Siegel, Julia Weertman","Unassigned, Unassigned",,
89-T-006,Nanocrystalline Ceramic Materials,"Unassigned, Unassigned",,,Closed/Inactive,,No,,1/31/1990,,,4/12/2018,10/2/2020,10/2/2020,###############################################################################################################################################################################################################################################################,,,, ,,,0,,0,,89-D-006,,"Unassigned, Unassigned",,
89-T-007,Protection Against Genotoxic Mutagenesis,"Tennant, Thelma",,David Grdina,Closed/Inactive,,No,,,,,4/12/2018,11/1/2020,11/1/2020,###############################################################################################################################################################################################################################################################,"Biological Sciences Division (BSD), Radiation and Cellular Oncology",,, ,,,0,,0,,89-D-007,David Grdina,"Cox, Ben",,
89-T-008,New Formulations for Dissolving Metal Oxides and Particularly Iron Oxides,"Unassigned, Unassigned",,Phil Horwitz,Closed/Inactive,,No,,,,,4/12/2018,11/17/2020,11/17/2020,###############################################################################################################################################################################################################################################################,Argonne National Laboratory,,, ,,,0,,0,,89-D-008,"Renato Chiarizia, Phil Horwitz","Hwang, Luke",,
90-T-001,Method for Liquid Chromatographic extraction for strontium,"Tennant, Thelma",,,Licenses at Potential,,No,,2/5/1990,,,4/12/2018,11/10/2021,11/10/2021,###############################################################################################################################################################################################################################################################,,,, ,,,0,,0,,90-D-001,,"Ginsburg, Eric",,
90-T-002,Electromagnetic Induction Pump for Pumping Liquid Metals and Other Conductive Liquids,"Unassigned, Unassigned",,Robert Smither,Closed/Inactive,,No,,,,,4/12/2018,10/2/2020,10/2/2020,###############################################################################################################################################################################################################################################################,,University of Chicago,, ,,,0,,0,,90-D-002,Robert Smither,"Unassigned, Unassigned",,
90-T-003,High Temperature Superconductor Fault Current Limiter,"Unassigned, Unassigned",,John Hull,Closed/Inactive,,No,,,,,4/12/2018,10/2/2020,10/2/2020,###############################################################################################################################################################################################################################################################,,,, ,,,0,,0,,90-D-003,John Hull,"Unassigned, Unassigned",,
90-T-004,Methods and Materials Relating to IMPDH and GMP Production (As Issued),"Muite, Kevin",,Frank Collart,Closed/Inactive,,No,,,,,4/12/2018,11/10/2021,11/10/2021,###############################################################################################################################################################################################################################################################,Argonne National Laboratory,University of Chicago,, ,,,0,,0,,90-D-004,"Frank Collart, Eliezer Huberman","Ginsburg, Eric",,
91-T-001,Method of Detection of Human Moncytic and Granulocytic Leukemia Cells,"Unassigned, Unassigned",,Shin-Ichi Murao,Closed/Inactive,,No,,,,,4/12/2018,1/20/2019,1/20/2019,###############################################################################################################################################################################################################################################################,Argonne National Laboratory,University of Chicago,, ,,,0,,0,,91-D-001,"Eliezer Huberman, Shin-Ichi Murao","Unassigned, Unassigned",,
91-T-002,Centrifugal Pyrocontactor,"Unassigned, Unassigned",,Lorac Chow,Closed/Inactive,,No,,,,,4/12/2018,1/20/2019,1/20/2019,###############################################################################################################################################################################################################################################################,,ARCH Development Corporation,, ,,,0,,0,,91-D-002,"Lorac Chow, Ralph Leonard","Unassigned, Unassigned",,
91-T-003,Transition Metal Sulfide Loaded Catalyst,"Unassigned, Unassigned",,Victor Maroni,Closed/Inactive,,No,,10/31/1991,,,4/12/2018,1/20/2019,1/20/2019,###############################################################################################################################################################################################################################################################,,University of Chicago,, ,,,0,,0,,91-D-003,"Lennox Iton, Theodore Krause, Victor Maroni, James Pasterczyk, Markus Winterer","Unassigned, Unassigned",,
91-T-005,Aqueous Biphasic Extraction Process with Ph and Particle Control,"Unassigned, Unassigned",,David Chaiko,Closed/Inactive,,No,,8/15/1995,,,4/12/2018,1/20/2019,1/20/2019,###############################################################################################################################################################################################################################################################,,,, ,,,0,,0,,91-D-005,"David Chaiko, R. Mensah-Biney","Unassigned, Unassigned",,
92-T-001,Methods and Compositions for Efficient Nucleic Acid Sequencing,"Tennant, Thelma",,Rade Drmanac,Closed/Inactive,,No,,,,,4/12/2018,12/14/2021,12/14/2021,###############################################################################################################################################################################################################################################################,,,, ,,,0,,0,,92-D-001,Rade Drmanac,"Ramirez, Mario Riojas",,
92-T-002,Cooling for Rotating Anode X-Ray Tube,"Unassigned, Unassigned",,Robert Smither,Closed/Inactive,,No,,,,,4/12/2018,10/2/2020,10/2/2020,###############################################################################################################################################################################################################################################################,,ARCH Development Corporation,, ,,,0,,0,,92-D-002,Robert Smither,"Unassigned, Unassigned",,
92-T-003,RUR,"Tennant, Thelma",,Rade Drmanac,Closed/Inactive,,No,,,,,4/12/2018,12/14/2021,12/14/2021,###############################################################################################################################################################################################################################################################,,,, ,,,0,,0,,92-D-003,"Rade Drmanac, I. Labat","Ramirez, Mario Riojas",,
93-T-001,Grafted Methylenediphosphonate Ion Exchange Resins,"Unassigned, Unassigned",,Phil Horwitz,Closed/Inactive,,No,,,,,4/12/2018,11/17/2020,11/17/2020,###############################################################################################################################################################################################################################################################,Argonne National Laboratory,University of Chicago,, ,,,0,,0,,93-D-001,"Spiro Alexandratos, Ralph Gatrone, Phil Horwitz, Andrzej Trochimcznk","Hwang, Luke",,
93-T-002,Process for Recovering Pertechnetate Ions from an Aqueous Solution Also Containing Other Ions,"Unassigned, Unassigned",,Phil Horwitz,Closed/Inactive,,No,,,,,4/12/2018,11/17/2020,11/17/2020,###############################################################################################################################################################################################################################################################,Argonne National Laboratory,University of Chicago,, ,,,0,,0,,93-D-002,"Andrew Bond, Phil Horwitz, Robin Rogers","Hwang, Luke",,
93-T-003,PYTHIA,"Tennant, Thelma",,A. Milosavljevic,Closed/Inactive,,No,,8/5/2015,,,4/12/2018,12/14/2021,12/14/2021,###############################################################################################################################################################################################################################################################,,,, ,,,0,,0,,93-D-003,A. Milosavljevic,"Ramirez, Mario Riojas",,
93-T-004,Method for enhancing Transport Properties in Cuprate,"Unassigned, Unassigned",,,Closed/Inactive,,No,,7/27/1993,,,4/12/2018,10/2/2020,10/2/2020,###############################################################################################################################################################################################################################################################,,,, ,,,0,,0,,93-D-004,,"Unassigned, Unassigned",,
94-T-001,DOTS 7.4,"Tennant, Thelma",,Rade Drmanac,Closed/Inactive,,No,,8/5/2015,,,4/12/2018,12/14/2021,12/14/2021,###############################################################################################################################################################################################################################################################,,,, ,,,0,,0,,94-D-001,"Rade Drmanac, J. Jarvis","Ramirez, Mario Riojas",,
94-T-003,CORD,"Tennant, Thelma",,Rade Drmanac,Closed/Inactive,,No,,,,,4/12/2018,12/14/2021,12/14/2021,###############################################################################################################################################################################################################################################################,,,, ,,,0,,0,,94-D-003,"Rade Drmanac, I. Labat","Ramirez, Mario Riojas",,
94-T-004,BDBSIM,"Unassigned, Unassigned",,Rick Vilim,Exclusively Licensed,,No,,,,,4/12/2018,10/2/2020,10/2/2020,###############################################################################################################################################################################################################################################################,,,, ,,,0,,0,,94-D-004,Rick Vilim,"Unassigned, Unassigned",,
94-T-005,A combined Cesium-strontium Extraction/recovery process,"Unassigned, Unassigned",,,Closed/Inactive,,No,,8/4/1994,,,4/12/2018,10/2/2020,10/2/2020,###############################################################################################################################################################################################################################################################,,,, ,,,0,,0,,94-D-005,,"Unassigned, Unassigned",,
94-T-006,A Composition and Process for Separating Cesium Ions from an Acidic Aqueous Solution Also Containing Other Ions,"Unassigned, Unassigned",,Phil Horwitz,Exclusively Licensed,,No,,8/18/1994,,,4/12/2018,11/17/2020,11/17/2020,###############################################################################################################################################################################################################################################################,Argonne National Laboratory,University of Chicago,, ,,,0,,0,,94-D-006,"Richard Barrans, Richard Bartsch, Mark Dietz, Phil Horwitz, David Rausch","Hwang, Luke",,
94-T-007,SCORES,"Tennant, Thelma",,Rade Drmanac,Closed/Inactive,,No,,,,,4/12/2018,12/14/2021,12/14/2021,###############################################################################################################################################################################################################################################################,,,, ,,,0,,0,,94-D-007,"Rade Drmanac, N. Stavropoulos","Ramirez, Mario Riojas",,
94-T-008,SEQWIN,"Tennant, Thelma",,Rade Drmanac,Closed/Inactive,,No,,,,,4/12/2018,12/14/2021,12/14/2021,###############################################################################################################################################################################################################################################################,,,, ,,,0,,0,,94-D-008,"Rade Drmanac, N. Stavropoulos","Ramirez, Mario Riojas",,
94-T-009,SIMSEQ,"Tennant, Thelma",,Rade Drmanac,Closed/Inactive,,No,,,,,4/12/2018,12/14/2021,12/14/2021,###############################################################################################################################################################################################################################################################,,,, ,,,0,,0,,94-D-009,"Rade Drmanac, N. Stavropoulos","Ramirez, Mario Riojas",,
94-T-010,DB EXP DESIGN,"Tennant, Thelma",,A. Milosavljevic,Closed/Inactive,,No,,8/5/2015,,,4/12/2018,12/14/2021,12/14/2021,###############################################################################################################################################################################################################################################################,,,, ,,,0,,0,,94-D-010,A. Milosavljevic,"Ramirez, Mario Riojas",,
94-T-011,DB SBH,"Tennant, Thelma",,A. Milosavljevic,Closed/Inactive,,No,,8/5/2015,,,4/12/2018,12/14/2021,12/14/2021,###############################################################################################################################################################################################################################################################,,,, ,,,0,,0,,94-D-011,A. Milosavljevic,"Ramirez, Mario Riojas",,
94-T-012,DB SBH VIEW,"Tennant, Thelma",,A. Milosavljevic,Closed/Inactive,,No,,8/5/2015,,,4/12/2018,12/14/2021,12/14/2021,###############################################################################################################################################################################################################################################################,,,, ,,,0,,0,,94-D-012,A. Milosavljevic,"Ramirez, Mario Riojas",,
94-T-013,DB DATA ENTRY,"Tennant, Thelma",,A. Milosavljevic,Closed/Inactive,,No,,8/5/2015,,,4/12/2018,12/14/2021,12/14/2021,###############################################################################################################################################################################################################################################################,,,, ,,,0,,0,,94-D-013,A. Milosavljevic,"Ramirez, Mario Riojas",,
94-T-014,DB EXP ASSEMBLY,"Tennant, Thelma",,A. Milosavljevic,Closed/Inactive,,No,,8/5/2015,,,4/12/2018,12/14/2021,12/14/2021,###############################################################################################################################################################################################################################################################,,,, ,,,0,,0,,94-D-014,A. Milosavljevic,"Ramirez, Mario Riojas",,
94-T-015,DB DISCOVERY,"Tennant, Thelma",,A. Milosavljevic,Closed/Inactive,,No,,8/5/2015,,,4/12/2018,12/14/2021,12/14/2021,###############################################################################################################################################################################################################################################################,,,, ,,,0,,0,,94-D-015,A. Milosavljevic,"Ramirez, Mario Riojas",,
94-T-016,Accordion,"Tennant, Thelma",,,Closed/Inactive,,No,,,,,4/12/2018,11/10/2021,11/10/2021,###############################################################################################################################################################################################################################################################,,,, ,,,0,,0,,94-D-016,,"Ginsburg, Eric",,
95-T-001,Method for Liquid Chromatographic Extraction of Strontium from Acid Solutions,"Unassigned, Unassigned",,Phil Horwitz,Closed/Inactive,,No,,,,,4/12/2018,11/17/2020,11/17/2020,###############################################################################################################################################################################################################################################################,Argonne National Laboratory,University of Chicago,, ,,,0,,0,,95-D-001,"Mark Dietz, Phil Horwitz","Hwang, Luke",,
95-T-002,Accordion,"Tennant, Thelma",,,Closed/Inactive,,No,,,,,4/12/2018,11/10/2021,11/10/2021,###############################################################################################################################################################################################################################################################,,,, ,,,0,,0,,95-D-002,,"Ginsburg, Eric",,
95-T-005,"Stabilization of the Genome in the Context of Preventing Resistance to Antineoplastic Agents, Ionizing Radiation, and Viral Agents","Tennant, Thelma",,David Grdina,Closed/Inactive,,No,,,,,4/12/2018,11/1/2020,11/2/2021,,"Biological Sciences Division (BSD), Comprehensive Cancer Center, Radiation and Cellular Oncology",,, ,,,0,,0,,95-D-005,"David Grdina, Ralph Weichselbaum","Cox, Ben",,
95-T-006,A Method to Enhance the Fidelity and Efficiency of a Cellular Repair System,"Tennant, Thelma",,David Grdina,Closed/Inactive,,No,,8/11/1995,,,4/12/2018,11/1/2020,11/1/2020,###############################################################################################################################################################################################################################################################,"Biological Sciences Division (BSD), Radiation and Cellular Oncology",,, ,,,0,,0,,95-D-006,David Grdina,"Cox, Ben",,
95-T-007,A Method to Induce the Expression of Cellular Kinases and Nuclear Structure Molecules,"Tennant, Thelma",,David Grdina,Closed/Inactive,,No,,,,,4/12/2018,11/1/2020,11/1/2020,###############################################################################################################################################################################################################################################################,"Biological Sciences Division (BSD), Radiation and Cellular Oncology",,, ,,,0,,0,,95-D-007,David Grdina,"Cox, Ben",,
95-T-012,Argument Structure Hierarchy System and Method for Facilitating Analysis and Decision-Making Processes,"Unassigned, Unassigned",,T. Janssen,Closed/Inactive,,No,,1/22/1996,,,4/12/2018,1/20/2019,1/20/2019,###############################################################################################################################################################################################################################################################,,University of Chicago,, ,,,0,,0,,95-D-012,T. Janssen,"Unassigned, Unassigned",,
96-T-010,Diphonix-CS: A novel Combined CS and SR selective Ion Exchange,"Unassigned, Unassigned",,Phil Horwitz,Exclusively Licensed,,No,,3/18/1996,,,4/12/2018,11/17/2020,11/17/2020,###############################################################################################################################################################################################################################################################,Argonne National Laboratory,,, ,,,0,,0,,96-D-010,Phil Horwitz,"Hwang, Luke",,
96-T-019,A Method to Repress Oncogene Expression and the Use of this Repression as an Intermediate Biomarker to Chemoprevention,"Tennant, Thelma",,David Grdina,Closed/Inactive,,No,,6/27/1996,,,4/12/2018,11/1/2020,11/1/2020,###############################################################################################################################################################################################################################################################,"Biological Sciences Division (BSD), Radiation and Cellular Oncology",,, ,,,0,,0,,96-D-019,David Grdina,"Cox, Ben",,
