search URL:,https://patents.google.com/?assignee=University+of+Chicago&before=filing:20220517&after=filing:19700101
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-2020332371-A1,Proximity-dependent split rna polymerases as a versatile biosensor platform ,The University Of Chicago,"Bryan C. Dickinson, Jinyue PU, Julia ZINKUS",2016-06-06,2017-06-06,2020-10-22,,https://patents.google.com/patent/US20200332371A1/en,https://patentimages.storage.googleapis.com/5d/07/68/3634a2996bd3d1/US20200332371A1-20201022-D00001.png
US-10383869-B2,Treatment with opioid antagonists and mTOR inhibitors ,The University Of Chicago,"Jonathan Moss, Patrick A. Singleton",2008-03-21,2016-11-16,2019-08-20,2019-08-20,https://patents.google.com/patent/US10383869B2/en,https://patentimages.storage.googleapis.com/22/da/71/4bca1c90d4c081/US10383869-20190820-D00001.png
US-9672638-B2,Spectral X-ray computed tomography reconstruction using a vectorial total variation ,"The University Of Chicago, Toshiba Medical Systems Corporation","David RIGIE, Patrick La Riviere, Adam PETSCHKE",2014-06-16,2014-06-16,2017-06-06,2017-06-06,https://patents.google.com/patent/US9672638B2/en,https://patentimages.storage.googleapis.com/34/f9/1f/dc8a15c3986bac/US09672638-20170606-D00000.png
US-7838270-B2,Target-dependent transcription using deletion mutants of N4 RNA polymerase ,The University Of Chicago,"Elena K. Davydova, Krystyna Maria Kazmierczak, Lucia B. Rothman-Denes",2001-05-22,2003-12-23,2010-11-23,2010-11-23,https://patents.google.com/patent/US7838270B2/en,https://patentimages.storage.googleapis.com/3b/57/7e/0f8627e10110c2/US07838270-20101123-D00001.png
US-8557778-B2,Therapeutics to inhibit MLL-menin interaction for treating leukemia ,The University Of Chicago,Michael J. Thirman,2006-10-19,2012-07-18,2013-10-15,2013-10-15,https://patents.google.com/patent/US8557778B2/en,https://patentimages.storage.googleapis.com/8c/40/de/9dc9b582cebd48/US08557778-20131015-D00001.png
US-11253579-B2,Compositions and methods for inducing immune tolerance ,"The University Of Chicago, Anokion Sa","Jeffrey A. Hubbell, David Scott Wilson, Kristen Marie Lorentz, Stephan Kontos",2017-06-16,2018-06-14,2022-02-22,2022-02-22,https://patents.google.com/patent/US11253579B2/en,https://patentimages.storage.googleapis.com/0e/9c/44/7cdd8e9f9c91b3/US11253579-20220222-D00001.png
US-10266573-B2,Cytotoxic factors for modulating cell death ,The Board Of Trustees Of The University Of Illinois,"Ananda M. Chakrabarty, Tapas K. Das Gupta, Vasu Punji, Olga Zaborina",2001-02-15,2008-05-19,2019-04-23,2019-04-23,https://patents.google.com/patent/US10266573B2/en,https://patentimages.storage.googleapis.com/af/bb/35/f4ab8010ff37fd/US10266573-20190423-D00001.png
US-7374760-B2,Methods and compositions for nerve regeneration ,The University Of Chicago,Yimin Zou,2003-05-15,2004-05-17,2008-05-20,2008-05-20,https://patents.google.com/patent/US7374760B2/en,https://patentimages.storage.googleapis.com/US7374760B2/US07374760-20080520-D00001.png
US-7744899-B2,Recombinant herpes simplex virus useful for treating neoplastic disease ,"The University Of Chicago, Uab Research Foundation","Richard J. Whitley, Bernard Roizman",1998-12-31,2006-10-11,2010-06-29,2010-06-29,https://patents.google.com/patent/US7744899B2/en,https://patentimages.storage.googleapis.com/cc/99/7a/e97ea75a270d0e/US07744899-20100629-D00001.png
US-7389653-B2,Medical ice slurry production device ,The University Of Chicago,"Kenneth E. Kasza, John Oras, HyunJin Son",2005-09-15,2005-09-15,2008-06-24,2008-06-24,https://patents.google.com/patent/US7389653B2/en,https://patentimages.storage.googleapis.com/US7389653B2/US07389653-20080624-D00000.png
US-6847032-B2,Optical peristaltic pumping with optical traps ,University Of Chicago,"David G. Grier, Sven Holger Behrens",2001-06-06,2003-08-29,2005-01-25,2005-01-25,https://patents.google.com/patent/US6847032B2/en,https://patentimages.storage.googleapis.com/b3/4c/87/2196a2ab45fbad/US06847032-20050125-D00000.png
US-2020248207-A1,Methanothermobacter Thermautotrophicus Strain and Variants Thereof ,The University Of Chicago,Laurens Mets,2011-01-05,2019-09-18,2020-08-06,,https://patents.google.com/patent/US20200248207A1/en,https://patentimages.storage.googleapis.com/33/0e/98/ea0a4d461c30a2/US20200248207A1-20200806-D00001.png
US-9161533-B2,Plant pathogen resistance ,"The University Of Chicago, Ut-Battelle","Jean T. Greenberg, Ho Won Jung, Timothy Tschaplinski",2007-08-16,2012-10-22,2015-10-20,2015-10-20,https://patents.google.com/patent/US9161533B2/en,https://patentimages.storage.googleapis.com/26/5c/ad/d88d13593e4933/US09161533-20151020-D00001.png
US-9001320-B2,Real-time mapping of electronic structure with single-shot two-dimensional electronic spectroscopy ,The University Of Chicago,"Elad Harel, Gregory S. Engel",2010-08-16,2011-08-16,2015-04-07,2015-04-07,https://patents.google.com/patent/US9001320B2/en,https://patentimages.storage.googleapis.com/38/d1/86/98aea5dca13a86/US09001320-20150407-D00000.png
US-2014142133-A1,Modulation of cell barrier dysfunction ,The University Of Chicago,"John C. Alverdy, Jonathan Moss, Mark W. Lingen, Patrick A. Singleton, Joe G.N. Garcia",2005-06-03,2013-10-23,2014-05-22,,https://patents.google.com/patent/US20140142133A1/en,https://patentimages.storage.googleapis.com/e5/6b/96/072b73db97aad3/US20140142133A1-20140522-D00001.png
US-2012277260-A1,Use of methylnaltrexone and related compounds to treat constipation in chronic opioid users ,The University Of Chicago,"Joseph F. Foss, Michael F. Roizen, Jonathan Moss, Chun-Su Yuan, William Drell",1997-11-03,2012-06-26,2012-11-01,,https://patents.google.com/patent/US20120277260A1/en,https://patentimages.storage.googleapis.com/34/ff/0d/68afb10faa7c61/US20120277260A1-20121101-D00001.png
CN-102083370-B,Multiple modality computer aided diagnostic system and method ,"皇家飞利浦电子股份有限公司, 芝加哥大学","L·A·迈内尔, G·M·纽斯特德",2008-06-11,2009-06-01,2014-03-05,2014-03-05,https://patents.google.com/patent/CN102083370B/en,
US-10290753-B2,Mid-infrared photodetectors ,The University Of Chicago,"Philippe Guyot-Sionnest, Sean E. Keuleyan, Emmanuel Lhuillier",2011-05-20,2016-03-07,2019-05-14,2019-05-14,https://patents.google.com/patent/US10290753B2/en,https://patentimages.storage.googleapis.com/2f/0a/5a/95b7fbfbe2946e/US10290753-20190514-D00000.png
US-10517543-B2,Multiresolution iterative reconstruction for region of interest imaging in X-ray cone-beam computed tomography ,"The University Of Chicago, Canon Medical Systems Corporation","Xiaochuan Pan, Zheng Zhang, Dan Xia, Yu-Bing CHANG, Joseph Manak",2017-09-13,2017-09-13,2019-12-31,2019-12-31,https://patents.google.com/patent/US10517543B2/en,https://patentimages.storage.googleapis.com/6d/4e/bb/2403da310dac77/US10517543-20191231-D00000.png
US-2021403910-A1,Antisense polynucleotides to induce exon skipping and method of treating dystrophies ,The University Of Chicago,Elizabeth McNally,2012-09-06,2021-09-09,2021-12-30,,https://patents.google.com/patent/US20210403910A1/en,https://patentimages.storage.googleapis.com/57/a2/b7/ab1206ce2b0630/US20210403910A1-20211230-D00001.png
US-2003224525-A1,Enhanced photophysics of conjugated polymers ,The University Of Chicago,Liaohai Chen,2002-05-30,2003-05-30,2003-12-04,,https://patents.google.com/patent/US20030224525A1/en,https://patentimages.storage.googleapis.com/ce/2f/c7/e94c4b1af9d6f4/US20030224525A1-20031204-D00001.png
US-7330255-B2,Total internal reflection fluorescence apparatus ,University Of Chicago,"Philippe Cluzel, Sebastien Harlepp",2004-12-09,2004-12-09,2008-02-12,2008-02-12,https://patents.google.com/patent/US7330255B2/en,https://patentimages.storage.googleapis.com/a4/38/38/092f72e19219fd/US07330255-20080212-D00003.png
US-8137911-B2,Preparation and use of single-stranded transcription substrates for synthesis of transcription products corresponding to target sequences ,"Cellscript, Inc.","Gary A. Dahl, Jerome J. Jendrisak, Elena K. Davydova, Lucia B. Rothman-Denes, Svetalana Y. Gerdes",2001-05-22,2003-11-21,2012-03-20,2012-03-20,https://patents.google.com/patent/US8137911B2/en,https://patentimages.storage.googleapis.com/3d/8e/fa/34abaeddc15d46/US08137911-20120320-D00001.png
US-8849369-B2,Wireless recording and stimulation of brain activity ,Eic Laboratories,"Stuart F. Cogan, Philip R. Troyk, John S. Ebersole, Vernon L. Towle",2009-01-15,2010-01-14,2014-09-30,2014-09-30,https://patents.google.com/patent/US8849369B2/en,https://patentimages.storage.googleapis.com/59/c3/e1/638de43ede36ba/US08849369-20140930-D00000.png
US-2009096807-A1,Systems and methods for image colorization ,"Silverstein Jonathan C, Parsad Nigel M","Jonathan C. Silverstein, Nigel M. Parsad",2007-08-27,2008-08-27,2009-04-16,,https://patents.google.com/patent/US20090096807A1/en,https://patentimages.storage.googleapis.com/83/4b/57/cba4cb2d421db7/US20090096807A1-20090416-D00003.png
US-2019054012-A1,Injectable pastes based on oppositely charged polymer/calcium phosphate nanoparticles ,The University Of Chicago,"Juan Jose de Pablo, Nader Taheri Qazvini, Monirosadat Sadati, Matthew Tirrell",2016-03-14,2017-03-13,2019-02-21,,https://patents.google.com/patent/US20190054012A1/en,https://patentimages.storage.googleapis.com/02/a8/6c/ffb4f211b6091e/US20190054012A1-20190221-D00000.png
US-2006058258-A1,Gene transcription and ionizing radiation: methods and compositions ,"The University Of Chicago, Dana-Farber Cancer Institute, Inc.","Ralph Weichselbaum, Dennis Hallahan, Vikas Sukhatme, Donald Kufe",1990-12-20,2005-10-25,2006-03-16,,https://patents.google.com/patent/US20060058258A1/en,https://patentimages.storage.googleapis.com/1d/f3/a7/27f84ea6ab8cfe/US20060058258A1-20060316-D00000.png
US-9175348-B2,Identification of 5-methyl-C in nucleic acid templates ,"Pacific Biosciences Of California, Inc.","Jonas Korlach, Chuan He, Tyson A. Clark, Liang Zhang, Xingyu Lu",2012-04-24,2013-04-23,2015-11-03,2015-11-03,https://patents.google.com/patent/US9175348B2/en,https://patentimages.storage.googleapis.com/8b/e0/db/0812725c5f65e9/US09175348-20151103-D00001.png
US-2018025116-A1,Clinical Event Management and Communication System ,Arizona Board Of Regents On Behalf Of University Of Arizona,"Jane M. Carrington, Mihai Surdeanu, Peter A. Jansen, Angus Forbes",2016-07-22,2017-07-21,2018-01-25,,https://patents.google.com/patent/US20180025116A1/en,https://patentimages.storage.googleapis.com/a7/7a/9c/1fc78d45c75635/US20180025116A1-20180125-D00000.png
US-2009104637-A1,Method and Apparatus for Assaying Blood Clotting ,"Ismagilov Rustem F, Kastrup Christian J, Runyon Matthew K, Helen Song, Feng Shen","Rustem F. Ismagilov, Christian J. Kastrup, Matthew K. Runyon, Helen Song, Feng Shen",2006-01-31,2007-01-31,2009-04-23,,https://patents.google.com/patent/US20090104637A1/en,https://patentimages.storage.googleapis.com/US20090104637A1/US20090104637A1-20090423-D00000.png
US-2003187010-A1,Use of methylnaltrexone and related compounds to treat chronic opioid use side effects ,"Foss Joseph F., Roizen Michael F., Jonathan Moss, Chun-Su Yuan, William Drell","Joseph Foss, Michael Roizen, Jonathan Moss, Chun-Su Yuan, William Drell",1997-11-03,2003-02-04,2003-10-02,,https://patents.google.com/patent/US20030187010A1/en,https://patentimages.storage.googleapis.com/48/6c/3f/8e7be3c1ad047e/US20030187010A1-20031002-D00001.png
US-2007249044-A1,Microstructures in three dimensional gel suspensions for growth of cells ,University Of Illinois At Chicago,"Tejal Desai, Brenda Russell",2006-01-30,2007-01-30,2007-10-25,,https://patents.google.com/patent/US20070249044A1/en,
US-2005152588-A1,"Method for virtual endoscopic visualization of the colon by shape-scale signatures, centerlining, and computerized detection of masses ",University Of Chicago,"Hiroyuki Yoshida, Janne Nappi, Hans Frimmel, Abraham Dachman",2003-10-28,2004-10-28,2005-07-14,,https://patents.google.com/patent/US20050152588A1/en,https://patentimages.storage.googleapis.com/be/6f/f0/d7350f5d4ecc79/US20050152588A1-20050714-D00000.png
US-2007073150-A1,Surface acoustic wave probe implant for predicting epileptic seizures ,University Of Chicago,"Nachappa Gopalsami, Stanislav Kulikov, Ivan Osorio, Apostolos Raptis",2005-09-29,2006-07-31,2007-03-29,,https://patents.google.com/patent/US20070073150A1/en,https://patentimages.storage.googleapis.com/31/33/06/ebceedba79a062/US20070073150A1-20070329-D00000.png
US-2005259854-A1,Method for detection of abnormalities in three-dimensional imaging data ,University Of Chicago,"Hidetaka Arimura, Qiang Li, Kunio Doi",2004-05-21,2004-05-21,2005-11-24,,https://patents.google.com/patent/US20050259854A1/en,https://patentimages.storage.googleapis.com/3a/cb/78/b3214c20e948c5/US20050259854A1-20051124-D00000.png
US-2005031785-A1,Method to grow pure nanocrystalline diamond films at low temperatures and high deposition rates ,The University Of Chicago,"John Carlisle, Dieter Gruen, Orlando Auciello, Xingcheng Xiao",2003-08-07,2004-07-15,2005-02-10,,https://patents.google.com/patent/US20050031785A1/en,https://patentimages.storage.googleapis.com/d4/6a/af/5a5231ad86f8df/US20050031785A1-20050210-D00000.png
US-7141154-B2,Single-stage separation and esterification of cation salt carboxylates using electrodeionization ,Uchicago Argonne Llc,"YuPo J. Lin, Michael Henry, Jamie Hestekin, Seth W. Snyder, Edward J. St. Martin",2003-03-06,2004-03-05,2006-11-28,2006-11-28,https://patents.google.com/patent/US7141154B2/en,https://patentimages.storage.googleapis.com/US7141154B2/US07141154-20061128-D00000.png
US-7745679-B2,Method of waste stabilization with dewatered chemically bonded phosphate ceramics ,"Ch2M Hill, Inc.","Arun Wagh, Martin D. Maloney",2003-02-26,2004-02-26,2010-06-29,2010-06-29,https://patents.google.com/patent/US7745679B2/en,https://patentimages.storage.googleapis.com/US7745679B2/US07745679-20100629-D00000.png
US-7625840-B2,Catalytic nanoporous membranes ,"Uchicago Argonne, Llc.","Michael J. Pellin, John N. Hryn, Jeffrey W. Elam",2003-09-17,2004-09-14,2009-12-01,2009-12-01,https://patents.google.com/patent/US7625840B2/en,https://patentimages.storage.googleapis.com/US7625840B2/US07625840-20091201-D00000.png
US-7507690-B2,Autothermal reforming catalyst having perovskite structure ,"Uchicago Argonne, Llc.","Michael Krumpelt, Di-Jia Liu",2002-04-30,2004-04-27,2009-03-24,2009-03-24,https://patents.google.com/patent/US7507690B2/en,https://patentimages.storage.googleapis.com/US7507690B2/US07507690-20090324-D00000.png
US-10755942-B2,Method of forming topcoat for patterning ,"Massachusetts Institute Of Technology, University Of Chicago","Do Han Kim, Hyo Seon Suh, Priya Moni, Karen K. Gleason, Paul Franklin Nealey",2016-11-02,2017-08-24,2020-08-25,2020-08-25,https://patents.google.com/patent/US10755942B2/en,https://patentimages.storage.googleapis.com/d8/b8/b7/8a67021e93a964/US10755942-20200825-D00000.png
US-7769201-B2,Method for analyzing multi-layer materials from one-sided pulsed thermal imaging ,"Uchicago Argonne, Llc",Jiangang Sun,2006-06-13,2006-06-13,2010-08-03,2010-08-03,https://patents.google.com/patent/US7769201B2/en,https://patentimages.storage.googleapis.com/9d/82/6b/a183c9b71246ae/US07769201-20100803-D00000.png
US-7128889-B2,Method to grow carbon thin films consisting entirely of diamond grains 3-5 nm in size and high-energy grain boundaries ,"Carlisle John A, Orlando Auciello, James Birrell","John A. Carlisle, Orlando Auciello, James Birrell",2003-06-26,2004-05-13,2006-10-31,2006-10-31,https://patents.google.com/patent/US7128889B2/en,https://patentimages.storage.googleapis.com/US7128889B2/US07128889-20061031-D00001.png
US-7160942-B2,Polymer-phyllosilicate nanocomposites and their preparation ,"Uchicago Argonne, Llc",David J. Chaiko,2002-07-12,2003-06-30,2007-01-09,2007-01-09,https://patents.google.com/patent/US7160942B2/en,
US-2006161232-A1,Phase-change particulate ice slurry coolant medical delivery tubing and insertion devices ,"Kasza, Oras and Son to The University of Chicago, Kasza, Oras, Son, Becker And Vanden Hoek To The University Of Chicago","Kenneth Kasza, John Oras, HyunJin Son, Lance Becker, Terrry Hoek",2005-01-18,2005-01-18,2006-07-20,,https://patents.google.com/patent/US20060161232A1/en,https://patentimages.storage.googleapis.com/35/8b/3c/7374f0309c8917/US20060161232A1-20060720-D00000.png
US-2019336969-A1,Parallelized sample handling ,"California Institute Of Technology, University Of Chicago","Rustem F. Ismagilov, Liang Ma, Qichao Pan, Mikhail Karymov, Toan Huynh, George Sawicki, Stefano Begolo, Wenbin Du",2013-04-19,2019-03-27,2019-11-07,,https://patents.google.com/patent/US20190336969A1/en,https://patentimages.storage.googleapis.com/47/7e/c8/e7a809c37b4b41/US20190336969A1-20191107-D00001.png
US-2004131941-A1,Anode material for lithium batteries ,The University Of Chicago,"Ilias Belharouak, Khalil Amine",2002-12-19,2003-12-18,2004-07-08,,https://patents.google.com/patent/US20040131941A1/en,https://patentimages.storage.googleapis.com/12/42/da/832310b34f7409/US20040131941A1-20040708-D00000.png
US-2004109847-A1,Treatment and prophylaxis with 4-1BB-binding agents ,"Lieping Chen, Yang-Xin Fu","Lieping Chen, Yang-Xin Fu",2002-07-15,2003-07-14,2004-06-10,,https://patents.google.com/patent/US20040109847A1/en,https://patentimages.storage.googleapis.com/86/3c/6b/546ad31faaf703/US20040109847A1-20040610-D00001.png
US-2006018524-A1,Computerized scheme for distinction between benign and malignant nodules in thoracic low-dose CT ,Uc Tech,"Kenji Suzuki, Kunio Doi",2004-07-15,2005-07-15,2006-01-26,,https://patents.google.com/patent/US20060018524A1/en,https://patentimages.storage.googleapis.com/45/3c/c9/b590ea85a1d99a/US20060018524A1-20060126-D00000.png
US-8076031-B1,Electrochemical device having electrolyte including disiloxane ,"West Robert C, Khalil Amine, Zhengcheng Zhang, Qingzheng Wang, Nicholas Agostino Antonio Rossi, Vissers Donald R","Robert C. West, Khalil Amine, Zhengcheng Zhang, Qingzheng Wang, Nicholas Agostino Antonio Rossi, Donald R. Vissers",2003-09-10,2005-02-10,2011-12-13,2011-12-13,https://patents.google.com/patent/US8076031B1/en,https://patentimages.storage.googleapis.com/be/2d/81/935d0d8c7ea4b0/US08076031-20111213-D00001.png
US-7160383-B2,Composition and application of novel sprayable phosphate cement (grancrete) that bonds to styrofoam ,"Uchicago Argonne, Llc","Arun S. Wagh, James W. Paul, Jr.",2004-06-15,2004-06-15,2007-01-09,2007-01-09,https://patents.google.com/patent/US7160383B2/en,
US-2004136973-A1,Human stem cell materials and methods ,"Eliezer Huberman, Yong Zhao","Eliezer Huberman, Yong Zhao",2002-11-07,2003-11-07,2004-07-15,,https://patents.google.com/patent/US20040136973A1/en,https://patentimages.storage.googleapis.com/29/73/bc/5b3b9fcf93a861/US20040136973A1-20040715-D00001.png
US-2007183978-A1,Methods and compositions for diagnosis and immunotherapy of pollen allergy ,The University Of Chicago,"Daphne Preuss, Ravishankar Palanivelu, Katinka Vigh, Matthew Cummings, Mohamed Bashir",2005-09-09,2006-09-11,2007-08-09,,https://patents.google.com/patent/US20070183978A1/en,https://patentimages.storage.googleapis.com/3b/78/f5/7b6c18da4e7c9f/US20070183978A1-20070809-D00000.png
US-2007292763-A1,Cathode material for lithium batteries ,University Of Chicago,"Sang-Ho Park, Khalil Amine",2006-06-19,2006-06-19,2007-12-20,,https://patents.google.com/patent/US20070292763A1/en,https://patentimages.storage.googleapis.com/US20070292763A1/US20070292763A1-20071220-D00000.png
US-7211323-B2,Hard and low friction nitride coatings and methods for forming the same ,U Chicago Argonne Llc,"Ali Erdemir, Mustafa Ürgen, Ali Fuat Cakir, Osman Levent Eryilmaz, Kursat Kazmanli, Ozgul Keles",2003-01-06,2003-01-06,2007-05-01,2007-05-01,https://patents.google.com/patent/US7211323B2/en,https://patentimages.storage.googleapis.com/US7211323B2/US07211323-20070501-D00000.png
US-7463353-B2,"Modular, micro-scale, optical array and biodetection system ","Uchicago Argonne, Llc",Gennadiy M. Yershov,2006-05-31,2006-05-31,2008-12-09,2008-12-09,https://patents.google.com/patent/US7463353B2/en,https://patentimages.storage.googleapis.com/US7463353B2/US07463353-20081209-D00000.png
US-2005205428-A1,Three-electrode metal oxide reduction cell ,The University Of Chicago,"Dennis Dees, John Ackerman",2002-09-06,2005-03-21,2005-09-22,,https://patents.google.com/patent/US20050205428A1/en,https://patentimages.storage.googleapis.com/2b/c6/b7/f37b2e4dc7142f/US20050205428A1-20050922-D00000.png
US-7394103-B2,All diamond self-aligned thin film transistor ,"Uchicago Argonne, Llc",Jennifer Gerbi,2004-09-13,2005-09-13,2008-07-01,2008-07-01,https://patents.google.com/patent/US7394103B2/en,https://patentimages.storage.googleapis.com/US7394103B2/US07394103-20080701-D00000.png
US-7294291-B2,Ceramicrete stabilization of U-and Pu-bearing materials ,"Uchicago Argonne, Llc","Arun S. Wagh, M. David Maloney, Gary H. Thompson",2003-02-18,2004-02-18,2007-11-13,2007-11-13,https://patents.google.com/patent/US7294291B2/en,https://patentimages.storage.googleapis.com/US7294291B2/US07294291-20071113-D00001.png
US-7162888-B2,Robot-based automation system for cryogenic crystal sample mounting ,Uchicago Argonne Llc,"Deming Shu, Andrzej Joachimiak, Curt A. Preissner, Daniel Nocher, Yufeng Han, Juan Barraza, Jr., Peter Lee, Wah-Keat Lee, Zhonghou Cai, Stephan Ginell, Randy Alkire, Robert G. Schuessler",2003-03-31,2004-03-24,2007-01-16,2007-01-16,https://patents.google.com/patent/US7162888B2/en,
CN-102859527-B,Treatment plan creation workflow tracking ,"皇家飞利浦电子股份有限公司, 芝加哥大学","C·斯泰帕尼亚卡, L·A·迈内尔, H·A·阿尔-哈拉奇",2010-02-05,2011-01-07,2017-03-22,2017-03-22,https://patents.google.com/patent/CN102859527B/en,
US-2011046211-A1,"Combination therapy of hedgehog inhibitors, radiation and chemotherapeutic agents ",The University Of Chicago,"Ralph R. Weichselbaum, Zahra Shafaee, Wei Du",2004-09-30,2010-10-27,2011-02-24,,https://patents.google.com/patent/US20110046211A1/en,https://patentimages.storage.googleapis.com/2b/73/9e/fdfbc7db5078a6/US20110046211A1-20110224-D00001.png
US-2009317399-A1,Uses and compositions for treatment of CROHN'S disease ,"Pollack Paul F, Hoffman Rebecca S, Renz Cheryl L, Paulson Susan K, Zhuoying Peng, Sandborn William J, Hanauer Stephen B, Paul Rutgeerts","Paul F. Pollack, Rebecca S. Hoffman, Cheryl L. Renz, Susan K. Paulson, Zhuoying Peng, William J. Sandborn, Stephen B. Hanauer, Paul Rutgeerts",2006-04-10,2007-05-18,2009-12-24,,https://patents.google.com/patent/US20090317399A1/en,https://patentimages.storage.googleapis.com/78/f0/f9/ce7d328ce9c245/US20090317399A1-20091224-D00001.png
US-2005106470-A1,Battery having electrolyte including one or more additives ,"Yoon Sang Y., Hiroshi Nakahara, Khalil Amine","Sang Yoon, Hiroshi Nakahara, Khalil Amine",2003-01-22,2004-10-07,2005-05-19,,https://patents.google.com/patent/US20050106470A1/en,https://patentimages.storage.googleapis.com/b3/16/5b/fe5f0cbbef0ab9/US20050106470A1-20050519-D00000.png
US-7227057-B2,Plant centromere compositions ,"Chromatin, Inc., The University Of Chicago","Jennifer Mach, Helge Zieler, James Jin, Kevin Keith, Gregory Copenhaver, Daphne Preuss",1997-06-03,2005-02-02,2007-06-05,2007-06-05,https://patents.google.com/patent/US7227057B2/en,https://patentimages.storage.googleapis.com/US7227057B2/US07227057-20070605-D00001.png
US-2013053594-A1,Methods of making self-healing polymer and gel compositions ,The University Of Chicago,"Ka Yee Christina Lee, Niels Holten-Andersen, J. Herbert Waite",2009-12-17,2010-12-17,2013-02-28,,https://patents.google.com/patent/US20130053594A1/en,https://patentimages.storage.googleapis.com/88/a4/71/c5761673eb8b8a/US20130053594A1-20130228-D00000.png
DE-102004017148-B4,Operator input device with tactile feedback ,"Caterpillar Inc., University Of Illinois At Chicago","Xiaodong Huang, John James Krone, Sairam Gopalan Velamakanni, Sabri Cetinkunt",2003-04-10,2004-04-07,2022-02-24,2022-02-24,https://patents.google.com/patent/DE102004017148B4/en,https://patentimages.storage.googleapis.com/91/07/c3/c5b7ab8e8778f7/DE102004017148B4_0001.png
US-8932594-B2,Adjuvants and methods of use ,"The Scripps Research Institute, The University Of Chicago, Brigham Young University","Luc Teyton, Albert Bendelac, Paul B. Savage",2006-06-30,2010-08-04,2015-01-13,2015-01-13,https://patents.google.com/patent/US8932594B2/en,https://patentimages.storage.googleapis.com/20/cf/67/93164c6eb1195d/US08932594-20150113-D00001.png
US-2006239883-A1,"Processes for making dense, spherical active materials for lithium-ion cells ",The University Of Chicago,"Sun-Ho Kang, Khalil Amine",2005-04-26,2006-04-25,2006-10-26,,https://patents.google.com/patent/US20060239883A1/en,https://patentimages.storage.googleapis.com/c6/46/7d/be154508f503c1/US20060239883A1-20061026-D00000.png
US-7629317-B2,Control of growth and repair of gastro-intestinal tissues by gastrokines and inhibitors ,The University Of Chicago,"F. Gary Toback, Terence E. Martin, Margaret M. Walsh-Reitz",2001-03-29,2004-05-11,2009-12-08,2009-12-08,https://patents.google.com/patent/US7629317B2/en,https://patentimages.storage.googleapis.com/d8/39/a3/667e8ddc1a6bdf/US07629317-20091208-D00003.png
US-10679730-B2,Prognostic and predictive breast cancer signature ,The University Of Chicago,"Marsha Rosner, Miao SUN, Unjin Lee",2013-05-28,2015-11-25,2020-06-09,2020-06-09,https://patents.google.com/patent/US10679730B2/en,https://patentimages.storage.googleapis.com/ab/2d/f6/54fb9f43224052/US10679730-20200609-D00001.png
US-2006112756-A1,Ultrafast and ultrasensitive hydrogen sensors based on self-assembly monolayer promoted 2-dimensional palladium nanoclusters ,The University Of Chicago,"Tao Xu, Michael Zach, Zhili Xiao",2004-12-01,2004-12-01,2006-06-01,,https://patents.google.com/patent/US20060112756A1/en,https://patentimages.storage.googleapis.com/29/c7/0e/4ac1643a6a42ea/US20060112756A1-20060601-D00000.png
US-7157165-B2,Iron-based perovskite cathodes for solid oxide fuel cells ,"Uchicago Argonne, Llc","James M. Ralph, Cècile C.R. Rossignol, John T. Vaughey",2003-11-18,2003-11-18,2007-01-02,2007-01-02,https://patents.google.com/patent/US7157165B2/en,https://patentimages.storage.googleapis.com/US7157165B2/US07157165-20070102-D00000.png
US-7465924-B1,Tracking of moving radioactive sources ,Uchicago Argonne Llc,"Raymond Klann, Richard B. Vilim, Young Soo Park",2006-04-28,2006-04-28,2008-12-16,2008-12-16,https://patents.google.com/patent/US7465924B1/en,
AU-2003245605-A1,Novel anticholesterol compositions and method for using same ,"Anagen Therapeutics, Inc., University Of Chicago Office Of Technology And Intellectual Property","Song Ching, Robert Dudley, Liao Shutsung",2002-06-19,2003-06-19,2004-01-06,,https://patents.google.com/patent/AU2003245605A1/en,
US-2007071164-A1,Optomechanical structure for a multifunctional hard x-ray nanoprobe instrument ,The University Of Chicago,"Deming Shu, Jorg Maser, Barry Lai, Franz Vogt, Martin Holt, Curt Preissner, Robert Winarski, Gregory Stephenson",2005-09-29,2005-09-29,2007-03-29,,https://patents.google.com/patent/US20070071164A1/en,https://patentimages.storage.googleapis.com/6b/44/47/fc74d7787e925b/US20070071164A1-20070329-D00000.png
US-2007131180-A1,Water and/or alcohol water secondary injection system for diesel engines ,The University Of Chicago,Charles Roehm,2005-12-13,2006-02-09,2007-06-14,,https://patents.google.com/patent/US20070131180A1/en,https://patentimages.storage.googleapis.com/77/8a/b3/d08a5567549ad4/US20070131180A1-20070614-D00000.png
US-2007246652-A1,Passive millimeter wave spectrometer for remote detection of chemical plumes ,The University Of Chicago,"Nachappa Gopalsami, Sasan Bakhtiari, Apostolos Raptis, Thomas Elmer",2006-04-20,2006-04-20,2007-10-25,,https://patents.google.com/patent/US20070246652A1/en,https://patentimages.storage.googleapis.com/9d/ce/20/72fe4c8849312b/US20070246652A1-20071025-D00000.png
