Primary Key,Tech ID,Internal ID,Patent Number,Serial Number,Docket No.,Application Type,Title,File Date,Priority Date,Expire Date,Issue Date,Nationalized Date,Publication Date,Status,Lead Inventor,Country,Lawfirm,Attorney,Legal Reference Number,Ext. Attorney Matter Number,Country WIPO ID,Date Actually Filed,Examiner,Inventors,IP Manager,Licensing Manager,CPA Reason For Stopping,CPA Renewal Type Codes,CPA Start Pay Date,CPA Stop Pay Date,CPI Case Types,CPI Start Pay Date,CPI Stop Pay Date,PCT Bar Date,PCT Filing Date,Priority Application Number,US Bar Date
610181,18-T-018,0000-011, ,Weaver Suspense,0000-011,Not Provided,Weaver Suspense,2/14/2018,2/14/2018,,,,,Pending,Cole Johnson,*United States,Weaver Austin Villeneuve & Sampson LLP,, , ,US,2/14/2018, ,Cole Johnson,"Neu, Nick","Neu, Nick",,,,,,,,,,Weaver Suspense,
613767,18-T-018,0000-012,,Oblon Suspense,0000-012,Not Provided,Oblon Suspense,2/14/2018,2/14/2018,,,,,Pending,Cole Johnson,*United States,"Oblon, Spivak, McClelland, Maier & Neustadt",,, ,US,2/14/2018,,Cole Johnson,"Neu, Nick","Neu, Nick",,,,,,,,,,Oblon Suspense,
1431655,18-T-018,0000-013,,Foley Suspense,,Not Provided,Foley Suspense,2/14/2018,2/14/2018,2/14/2038,,,,Pending,Cole Johnson,*United States,Foley Hoag LLP,,, ,US,2/14/2018,,Cole Johnson,"Neu, Nick","Neu, Nick",,,,,,,,,,Oblon Suspense,
3992411,TEST,0000-014, ,Suspense, ,Not Provided,ANL Suspense - use for Incom License Patent Reimbursement,2/14/2018,2/14/2018,,,,,Pending,Cole Johnson,*United States,"UChicago Argonne, LLC",, , ,US,2/14/2018, ,Cole Johnson,"Unassigned, Unassigned","Neu, Nick",,,,,,,,,,Oblon Suspense,
4693968,18-T-018,0000-015,,Leydig Suspense,,Not Provided,Leydig Suspense,2/14/2018,2/14/2018,,,,,Pending,Cole Johnson,*United States,"Leydig, Voit & Mayer, Ltd.","Spenner, Jonathan",,,US,,,Cole Johnson,"Neu, Nick","Neu, Nick",,,,,,,,,,Oblon Suspense,
4913146,18-T-018,0000-16,,Norton Suspense,,Not Provided,Norton Rose Suspense,2/14/2018,2/14/2018,,,,,Pending,Cole Johnson,*United States,Norton Rose Fulbright US LLP,"Shishima, Gina",ARCD:001,,US,,,Cole Johnson,"Neu, Nick","Neu, Nick",,,,,,,,,,,
614123,75-T-001,0001-001,"4,154,822","05/710,699",0001-001,US Utility,Polysaccharide for Enhancement of Cardiac Output,8/2/1976,8/2/1976,5/15/1996,5/15/1979,,,Expired - Inactive,Philip Polimeni,*United States,,, ,USET,US,8/2/1976, ,"Jafar Al-Sadir, Anthony Cutilletta, Philip Polimeni, Ralph Weichselbaum","Dembo, Anna","Tennant, Thelma",,,,,,,,,,"05/710,699",
612078,00-T-001,0002.1-001,"3,957,031","05/581,613",0002.1-001,US Utility,Light Collectors in Cylinderical Geometry,5/29/1975,5/29/1975,5/29/1995,5/18/1976,,,Expired - Inactive,Roland Winston,*United States,"Marshall, Gerstein & Borun",, ,21005/3979,US,5/29/1975, ,Roland Winston,"Ginsburg, Eric","Juggernauth, Anne",,,,,,,,,,"05/581,613",
614263,00-T-002,0002.2-001,"4,002,499","05/492,074",0002.2-001,US Utility,Radiant Energy Collector,7/26/1974,7/26/1974,7/26/1994,1/11/1977,,,Expired - Inactive,Roland Winston,*United States,"Marshall, Gerstein & Borun","Borun, Michael", ,21005-10000,US,7/26/1974, ,Roland Winston,"Ginsburg, Eric","Juggernauth, Anne",,,,,,,,,,"05/492,074",
611370,00-T-003,0002.3-001,"4,114,592","05/714,863",0002.3-001,US Utility,Cylindrical Radiant Energy Direction Device With Refractive Medium,8/16/1976,8/16/1976,8/16/1996,9/19/1978,,,Expired - Inactive,Roland Winston,*United States,"Marshall, Gerstein & Borun","Borun, Michael", , ,US,8/16/1976, ,Roland Winston,"Ginsburg, Eric","Juggernauth, Anne",,,,,,,,,,"05/714,863",
614261,73-T-001,0002-001,"3,923,381","05/429,161",0002-001,US Utility,Radiant Energy Collection,12/28/1973,12/28/1973,12/28/1993,12/2/1975,,,Expired - Inactive,Roland Winston,*United States,"Marshall, Gerstein & Borun","Borun, Michael", ,21005/3979,US,12/28/1973, ,Roland Winston,"Ginsburg, Eric","Juggernauth, Anne",,,,,,,,,,"05/429,161",
614262,73-T-001,0002-002,"4,003,638","05/613,577",0002-002,Continuation in Part,Radiant Energy Collection,12/28/1973,12/28/1973,1/18/1994,1/18/1977,,,Expired - Inactive,Roland Winston,*United States,"Marshall, Gerstein & Borun","Borun, Michael", ,21005/3979,US,9/15/1975, ,Roland Winston,"Ginsburg, Eric","Juggernauth, Anne",,,,,,,,,,"05/429,161",
614256,77-T-002,0006.1-001,"4,176,186","05/928,821",0006.1-001,US Utility,Quaternary Derivatives of Noroxymorphone Which Relieve Intestinal Immobility,7/28/1978,7/28/1978,7/28/1998,11/27/1979,,,Expired - Inactive,Jonathan Moss,*United States,,, , ,US,7/28/1978, ,"Leon Goldberg, Herbert Merz, Jonathan Moss, Klaus Stockhaus","Bakalyar, Heather","Tennant, Thelma",,,,,,,,,,"05/928,821",
614257,97-T-042,0006.2-001,"4,719,215","06/837,399",0006.2-001,US Utility,Quaternary Derivatives of Noroxymorphone Which Relieve Nausea and Emesis,3/7/1986,3/7/1986,1/11/2003,1/12/1988,,,Expired - Inactive,Leon Goldberg,*United States,"Christie, Parker & Hale",, ,16885,US,3/7/1986, ,"Leon Goldberg, Jonathan Moss","Bakalyar, Heather","Tennant, Thelma",,,,,,,,,,"06/837,399",
614392,77-T-001,0006-001,"4,219,568","05/882,353",0006-001,US Utility,Renal Blood with Dopamine,3/1/1978,3/1/1978,3/1/1998,8/26/1980,,,Expired - Inactive,Leon Goldberg,*United States,,, , ,US,3/1/1978, ,"Joseph Cannon, Leon Goldberg, John Long","Bakalyar, Heather","Tennant, Thelma",,,,,,,,,,"05/882,353",
610254,77-T-001,0006-002, ,"06/295,478",0006-002,US Utility,Acylated Dopamine Derivatives,8/24/1981,3/1/1978,,,,,Abandoned,Leon Goldberg,*United States,,, , ,US,8/24/1981, ,"Joseph Cannon, Leon Goldberg, John Long","Bakalyar, Heather","Tennant, Thelma",,,,,,,,,,"05/882,353",
610255,77-T-001,0006-003, ,"06/379,585",0006-003,Continuation in Part,Acylated Dopamine Derivatives,8/24/1981,3/1/1978,,,,,Abandoned,Leon Goldberg,*United States,,, ,USET,US,5/19/1982, ,"Joseph Cannon, Leon Goldberg, John Long","Bakalyar, Heather","Tennant, Thelma",,,,,,,,,,"05/882,353",
610256,77-T-001,0006-004, ,"06/496,155",0006-004,Continuation in Part,Acylated Dopamine Derivatives,8/24/1981,3/1/1978,,,,,Abandoned,Leon Goldberg,*United States,,, ,USET,US,5/19/1983, ,"Joseph Cannon, Leon Goldberg, John Long","Bakalyar, Heather","Tennant, Thelma",,,,,,,,,,"05/882,353",
614633,79-T-013,0007-001,"4,108,870","05/803,734",0007-001,US Utility,Stereocontrolled synthesis of .alpha.-multistriatin,6/6/1977,6/6/1977,6/6/1997,8/22/1978,,,Expired - Inactive,Josef Fried,*United States,,, , ,US,6/6/1977, ,"William Elliott, Josef Fried","Unassigned, Unassigned","Unassigned, Unassigned",,,,,,,,,,"05/803,734",
614267,82-T-004,0008-001,"4,260,737","06/021,103",0008-001,US Utility,Radioiodine Labeling During Protein Synthesis,3/16/1979,3/16/1979,3/16/1999,4/7/1981,,,Expired - Inactive,Neal Scherberg,*United States,,, , ,US,3/16/1979, ,Neal Scherberg,"Unassigned, Unassigned","Unassigned, Unassigned",,,,,,,,,,"06/021,103",
614268,82-T-004,0008-002,"4,383,033","06/207,516",0008-002,Divisional,Radioiodine Labeling During Protein Synthesis,3/16/1979,3/16/1979,5/10/2000,5/10/1983,,,Expired - Inactive,Neal Scherberg,*United States,,, , ,US,11/17/1980, ,Neal Scherberg,"Unassigned, Unassigned","Unassigned, Unassigned",,,,,,,,,,"06/021,103",
611878,00-T-004,0009.1-001,"4,230,095","05/909,864",0009.1-001,US Utility,Ideal Light Concentrators with Reflector Gaps,5/26/1978,5/26/1978,5/26/1998,10/28/1980,,,Expired - Inactive,Roland Winston,*United States,"Marshall, Gerstein & Borun",, , ,US,5/26/1978, ,Roland Winston,"Ginsburg, Eric","Juggernauth, Anne",,,,,,,,,,"05/909,864",
613704,00-T-005,0009.2-001,"4,237,332","05/945,923",0009.2-001,US Utility,Nonimaging Radiant Energy Direction Device,9/26/1978,9/26/1978,9/26/1998,12/2/1980,,,Expired - Inactive,Roland Winston,*United States,"Marshall, Gerstein & Borun",, , ,US,9/26/1978, ,Roland Winston,"Ginsburg, Eric","Juggernauth, Anne",,,,,,,,,,"05/945,923",
611528,00-T-006,0009.3-001, ,"06/069,326",0009.3-001,US Utility,Energy Transmission with Respect to Convex Sources and Receivers,8/24/1979,8/24/1979,,,,,Abandoned,Roland Winston,*United States,"Marshall, Gerstein & Borun",, , ,US,8/24/1979, ,Roland Winston,"Ginsburg, Eric","Juggernauth, Anne",,,,,,,,,,"06/069,326",
611529,00-T-006,0009.3-002,"4,483,007","06/282,232",0009.3-002,Continuation,Energy Transmission with Respect to Convex Sources and Receivers,7/10/1981,8/24/1979,11/13/2001,11/13/1984,,,Expired - Inactive,Roland Winston,*United States,"Marshall, Gerstein & Borun",, ,21005-D5990,US,7/10/1981, ,Roland Winston,"Ginsburg, Eric","Juggernauth, Anne",,,,,,,,,,"06/069,326",
611526,79-T-010,0009-001, ,"05/628,383",0009-001,US Utility,Energy Transmission,11/3/1975,11/3/1975,,,,,Abandoned,Roland Winston,*United States,"Marshall, Gerstein & Borun",, , ,US,11/3/1975, ,Roland Winston,"Ginsburg, Eric","Juggernauth, Anne",,,,,,,,,,"05/628,383",
611527,79-T-010,0009-002,"4,240,692","05/641,557",0009-002,Continuation in Part,Energy Transmission,11/3/1975,11/3/1975,12/23/1997,12/23/1980,,,Expired - Inactive,Roland Winston,*United States,"Marshall, Gerstein & Borun","Zeller, James", ,27566/4412,US,12/17/1975, ,Roland Winston,"Ginsburg, Eric","Juggernauth, Anne",,,,,,,,,,"05/628,383",
610824,84-T-012,0011.1-001,"4,320,751","06/122,541",0011.1-001,US Utility,Cervical Cap with Foam Lining,12/19/1980,12/19/1980,12/19/2000,3/23/1982,,,Expired - Inactive,Marvin Loeb,*United States,,, , ,US,12/19/1980, ,Marvin Loeb,"Unassigned, Unassigned","Unassigned, Unassigned",,,,,,,,,,"06/122,541",
611361,84-T-013,0011.2-001,"4,369,219","06/163,328",0011.2-001,US Utility,Custom Valved Cervical Cap with Deformable Margin,6/26/1980,6/26/1980,6/26/2000,1/18/1983,,,Expired - Inactive,Robert Goepp,*United States,,, , ,US,6/26/1980, ,"Uwe Freese, Robert Goepp, Marvin Loeb","Unassigned, Unassigned","Unassigned, Unassigned",,,,,,,,,,"06/163,328",
611362,84-T-013,0011.2-002,"4,450,836","06/424,227",0011.2-002,Divisional,Custom Valved Cervical Cap with Deformable Margin,6/26/1980,6/26/1980,5/29/2001,5/29/1984,,,Expired - Inactive,Robert Goepp,*United States,,, ,USET,US,9/27/1982, ,"Uwe Freese, Robert Goepp, Marvin Loeb","Unassigned, Unassigned","Unassigned, Unassigned",,,,,,,,,,"06/163,328",
611273,84-T-014,0011.3-001,"4,401,534","06/207,904",0011.3-001,US Utility,Conforming Valved Cervical Cap Assembly and In-Situ Molding Method,11/18/1980,11/18/1980,11/18/2000,8/30/1983,,,Expired - Inactive,Robert Goepp,*United States,,, ,USET,US,11/18/1980, ,"Uwe Freese, Robert Goepp, Marvin Loeb","Unassigned, Unassigned","Unassigned, Unassigned",,,,,,,,,,"06/207,904",
611274,84-T-014,0011.3-002,"4,517,970","06/510,278",0011.3-002,Divisional,Conforming Valved Cervical Cap Assembly and In-Situ Molding Method,11/18/1980,11/18/1980,5/21/2002,5/21/1985,,,Expired - Inactive,Robert Goepp,*United States,,, , ,US,7/1/1983, ,"Uwe Freese, Robert Goepp, Marvin Loeb","Unassigned, Unassigned","Unassigned, Unassigned",,,,,,,,,,"06/207,904",
611356,84-T-011,0011-001,"4,322,463","06/108,319",0011-001,US Utility,Custom Valved Cervical Cap,12/31/1979,12/31/1979,12/31/1999,3/30/1982,,,Expired - Inactive,Robert Goepp,*United States,,, ,USET,US,12/31/1979, ,"Uwe Freese, Robert Goepp","Unassigned, Unassigned","Unassigned, Unassigned",,,,,,,,,,"06/108,319",
611357,84-T-011,0011-002, ,PCT/US80/01766,0011-002,PCT,Custom Valved Cervical Cap,12/31/1979,12/31/1979,6/30/1982,,,,Expired - Inactive,Robert Goepp,*United States,,, ,USET,US,12/24/1980, ,"Uwe Freese, Robert Goepp","Unassigned, Unassigned","Unassigned, Unassigned",,,,,,,,12/31/1980,,"06/108,319",
611935,84-T-011,0011-003,"4,384,572","06/236,772",0011-003,Continuation in Part,Implement for Making an Impression of the Cervix Uteri,12/31/1979,12/31/1979,5/24/2000,5/24/1983,,,Expired - Inactive,Robert Goepp,*United States,,, ,USET,US,2/23/1981, ,"Uwe Freese, Robert Goepp","Unassigned, Unassigned","Unassigned, Unassigned",,,,,,,,,,"06/108,319",
611358,84-T-011,0011-004,"4,363,318","06/288,393",0011-004,Divisional,Custom Valved Cervical Cap,12/31/1979,12/31/1979,12/31/1999,12/14/1982,,,Expired - Inactive,Robert Goepp,*United States,,, ,USET,US,7/30/1981, ,"Uwe Freese, Robert Goepp","Unassigned, Unassigned","Unassigned, Unassigned",,,,,,,,,,"06/108,319",
611359,84-T-011,0011-005,"4,467,789","06/310,493",0011-005,Divisional,Custom Valved Cervical Cap,12/31/1979,12/31/1979,8/28/2001,8/28/1984,,,Expired - Inactive,Robert Goepp,*United States,,, ,USET,US,10/13/1981, ,"Uwe Freese, Robert Goepp","Unassigned, Unassigned","Unassigned, Unassigned",,,,,,,,,,"06/108,319",
611360,84-T-011,0011-006,"4,543,949","06/619,037",0011-006,Divisional,Custom Valved Cervical Cap,12/31/1979,12/31/1979,10/1/2002,10/1/1985,,,Expired - Inactive,Robert Goepp,*United States,,, ,USET,US,6/11/1984, ,"Uwe Freese, Robert Goepp","Unassigned, Unassigned","Unassigned, Unassigned",,,,,,,,,,"06/310,493",
613567,83-T-008,0101-001,"4,389,571","06/249,782",0101-001,US Utility,Multiple Sextupole System for the Correction of Third and Higher Order Aberration,4/1/1981,4/1/1981,4/1/2001,6/21/1983,,,Expired - Inactive,Albert Crewe,*United States,,, , ,US,4/1/1981, ,Albert Crewe,"Unassigned, Unassigned","Unassigned, Unassigned",,,,,,,,,,"06/249,782",
611601,80-T-001,0106-001, ,"06/083,398",0106-001,US Utility,Florine Substituted PG12 Compounds,10/10/1979,10/10/1979,,,,,Abandoned,Josef Fried,*United States,,, , ,US,10/10/1979, ,Josef Fried,"Unassigned, Unassigned","Unassigned, Unassigned",,,,,,,,,,"06/083,398",
611602,80-T-001,0106-002, ,"06/108,525",0106-002,Continuation in Part,Florine Substituted PG12 Compounds,10/10/1979,10/10/1979,,,,,Abandoned,Josef Fried,*United States,,, , ,US,12/31/1979, ,Josef Fried,"Unassigned, Unassigned","Unassigned, Unassigned",,,,,,,,,,"06/083,398",
610823,80-T-001,0106-003,"4,324,730","06/195,291",0106-003,Continuation in Part,Certain Fluorine Substituted PGI.sub.2 Compounds,10/10/1979,10/10/1979,10/8/1981,4/13/1982,,,Expired - Inactive,Josef Fried,*United States,,, , ,US,10/8/1980, ,Josef Fried,"Unassigned, Unassigned","Unassigned, Unassigned",,,,,,,,,,"06/083,398",
610862,80-T-001,0106-004,"4,456,768","06/259,740",0106-004,Continuation in Part,Chemical Synthesis,10/10/1979,10/8/1980,6/26/2001,6/26/1984,,,Expired - Inactive,Josef Fried,*United States,,, , ,US,5/1/1981, ,Josef Fried,"Unassigned, Unassigned","Unassigned, Unassigned",,,,,,,,,,"06/195,291",
613118,78-T-003,0107-001,"4,232,001","05/945,000",0107-001,US Utility,Methods and Materials for Detection of Estrophilin,9/22/1978,9/22/1978,9/22/1998,11/4/1980,,,Expired - Inactive,Elwood Jensen,*United States,,, , ,US,9/22/1978, ,"Eugene DeSombre, Elwood Jensen","Unassigned, Unassigned","Unassigned, Unassigned",,,,,,,,,,"05/945,000",
611607,79-T-001,0110-001, ,"06/046,314",0110-001,US Utility,Food Materials for Prevention of Carious Degradation of Teeth,6/7/1979,6/7/1979,,,,,Abandoned,Frank Besic,*United States,"Marshall, Gerstein & Borun",, , ,US,6/7/1979, ,Frank Besic,"Unassigned, Unassigned","Unassigned, Unassigned",,,,,,,,,,"06/046,314",
613121,79-T-001,0110-002,"4,405,600","06/139,199",0110-002,Continuation in Part,Methods and Materials for Prevention of Carious Degradation of Teeth,6/7/1979,6/7/1979,9/20/2000,9/20/1983,,,Expired - Inactive,Frank Besic,*United States,"Marshall, Gerstein & Borun",, , ,US,4/11/1980, ,Frank Besic,"Unassigned, Unassigned","Unassigned, Unassigned",,,,,,,,,,"06/046,314",
611608,79-T-001,0110-003,"4,515,770","06/533,750",0110-003,Divisional,Food Materials for Prevention of Carious Degradation of Teeth,6/7/1979,6/7/1979,9/20/2000,5/7/1985,,,Expired - Inactive,Frank Besic,*United States,"Marshall, Gerstein & Borun",, , ,US,9/19/1983, ,Frank Besic,"Unassigned, Unassigned","Unassigned, Unassigned",,,,,,,,,,"06/046,314",
611539,79-T-008,0115-001,"4,293,536","06/037,631",0115-001,US Utility,Estrophilin Detection,5/10/1979,5/10/1979,5/10/1999,10/6/1981,,,Expired - Inactive,Elwood Jensen,*United States,,, ,USET,US,5/10/1979, ,"Verne Hospelhorn, Elwood Jensen","Unassigned, Unassigned","Unassigned, Unassigned",,,,,,,,,,"06/037,631",
614489,79-T-006,0116-001,"4,303,864","06/088,224",0116-001,US Utility,Sextupole System for the Correction of Spherical Aberration,10/25/1979,10/25/1979,10/25/1999,12/1/1981,,,Expired - Inactive,Albert Crewe,*United States,,, , ,US,10/25/1979, ,"Albert Crewe, David Kopf","Unassigned, Unassigned","Unassigned, Unassigned",,,,,,,,,,"06/088,224",
611336,01-T-002,0118.1-001,"4,359,265","06/113,155",0118.1-001,US Utility,Controlled Directional Scattering Cavity for Tubular Absorbers,1/18/1980,1/18/1980,1/18/2000,11/16/1982,,,Expired - Inactive,Roland Winston,*United States,,, , ,US,1/18/1980, ,Roland Winston,"Ginsburg, Eric","Juggernauth, Anne",,,,,,,,,,"06/113,155",
614264,01-T-003,0118.2-001,"4,419,984","06/121,541",0118.2-001,US Utility,Radiant Energy Collector,2/14/1980,2/14/1980,12/13/2000,12/13/1983,,,Expired - Inactive,William McIntyre,*United States,,, , ,US,2/14/1980, ,William McIntyre,"Unassigned, Unassigned","Unassigned, Unassigned",,,,,,,,,,"06/121,541",
613885,79-T-011,0118-001, ,"06/113,169",0118-001,US Utility,Parabolic Concentrator,1/18/1980,1/18/1980,,,,,Abandoned,Roland Winston,*United States,,, , ,US,1/18/1980, ,Roland Winston,"Ginsburg, Eric","Juggernauth, Anne",,,,,,,,,,"06/113,169",
611234,79-T-011,0118-002,"4,387,961","06/230,137",0118-002,Continuation,Compound Parabolic Concentrator with Cavity for Tubular Absorbers,1/18/1980,1/18/1980,6/14/2000,6/14/1983,,,Expired - Inactive,Roland Winston,*United States,"Marshall, Gerstein & Borun","Zeller, James", ,27566-30020,US,1/30/1981, ,Roland Winston,"Ginsburg, Eric","Juggernauth, Anne",,,,,,,,,,"06/113,169",
614222,80-T-004,0123-001, ,"06/259,121",0123-001,US Utility,Protein Synthesis in E. Coli,8/21/1981,8/21/1981,,,,,Abandoned,Alvin Markovitz,*United States,,, , ,US,8/21/1981, ,"Marc Charette, Alvin Markovitz, Joyce Schoemaker, Barbara Zehnbauer","Unassigned, Unassigned","Unassigned, Unassigned",,,,,,,,,,"06/259,121",
611533,80-T-004,0123-002,"4,590,159","06/523,904",0123-002,Continuation,Enhancement of Expression of Protein Synthesis in E. Coli,8/21/1981,8/21/1981,5/20/2003,5/20/1986,,,Abandoned,Alvin Markovitz,*United States,,, ,UCHI-123C,US,8/17/1983, ,"Marc Charette, Alvin Markovitz, Joyce Schoemaker, Barbara Zehnbauer","Unassigned, Unassigned","Unassigned, Unassigned",,,,,,,,,,"06/259,121",
614352,80-T-005,0124-001, ,"06/302,497",0124-001,US Utility,Recombinant Materials and Methods,9/16/1981,9/16/1981,,,,,Abandoned,Bernard Roizman,*United States,"Marshall, Gerstein & Borun","Zeller, James",5950,21007/5950,US,9/16/1981, ,"Leonard Post, Bernard Roizman","Dembo, Anna","Tennant, Thelma",,,,,,,,,,"06/302,497",
614353,80-T-005,0124-002,"4,769,331","06/690,369",0124-002,Continuation,Recombinant Methods and Materials,9/16/1981,9/16/1981,9/6/2005,9/6/1988,,,Expired - Inactive,Bernard Roizman,*United States,"Marshall, Gerstein & Borun","Zeller, James", ,28097-10000,US,1/9/1985, ,"Leonard Post, Bernard Roizman","Dembo, Anna","Tennant, Thelma",,,,,,,,,,"06/302,497",
614354,80-T-005,0124-003, ,"07/016,510",0124-003,Divisional,Recombinant Methods and Materials,9/16/1981,1/9/1985,,,,,Abandoned,Bernard Roizman,*United States,"Marshall, Gerstein & Borun","Zeller, James", ,21007/8090,US,3/2/1987, ,"Leonard Post, Bernard Roizman","Dembo, Anna","Tennant, Thelma",,,,,,,,,,"06/690,369",
614355,80-T-005,0124-004, ,87/0818,0124-004,Nationalized PCT,Recombinant Methods and Materials,9/16/1981,1/9/1985,2/4/2007,,,,Expired - Inactive,Bernard Roizman,South Africa,"Marshall, Gerstein & Borun","Zeller, James", ,21007/8090,ZA,2/4/1987, ,"Leonard Post, Bernard Roizman","Dembo, Anna","Tennant, Thelma",,,,,,,,,,"06/690,369",
614356,80-T-005,0124-005,585126,585126,0124-005,Nationalized PCT,Recombinant Methods and Materials,9/16/1981,1/9/1985,2/4/2007,,,,Expired - Inactive,Bernard Roizman,Australia,"Marshall, Gerstein & Borun","Zeller, James", ,21007/8090,AU,2/4/1987, ,"Leonard Post, Bernard Roizman","Dembo, Anna","Tennant, Thelma",,,,,,,,,,"06/690,369",
613520,81-T-004,0129-001,"4,558,005","06/417,429",0129-001,US Utility,Monoclonal Anti-Erythropoietin,9/13/1982,9/13/1982,12/10/2002,12/10/1985,,,Abandoned,Eugene Goldwasser,*United States,"Marshall, Gerstein & Borun",, ,21007/6193,US,9/13/1982, ,"Eugene Goldwasser, Clifford Kavinsky, Tania Weiss","Unassigned, Unassigned","Unassigned, Unassigned",,,,,,,,,,"06/417,429",
611346,81-T-003,0130-001,"4,414,474","06/349,442",0130-001,US Utility,Corrector for Axial Aberrations in Electron Optic Instruments,2/17/1982,2/17/1982,2/17/2002,11/8/1983,,,Abandoned,Albert Crewe,*United States,,, ,USET,US,2/17/1982, ,Albert Crewe,"Unassigned, Unassigned","Unassigned, Unassigned",,,,,,,,,,"06/349,442",
612516,81-T-007,0132.1-001, ,"06/523,026",0132.1-001,US Utility,Method of Antagonizing PGF2,8/15/1983,8/15/1983,,,,,Abandoned,Leon Goldberg,*United States,,, ,USET,US,8/15/1983, ,Leon Goldberg,"Bakalyar, Heather","Tennant, Thelma",,,,,,,,,,"06/523,026",
614204,81-T-006,0132-001, ,"06/361,824",0132-001,US Utility,Prostaglandin PGF2A Antagonist,3/25/1982,3/25/1982,,,,,Abandoned,Josef Fried,*United States,,, ,USET,US,3/25/1982, ,"Josef Fried, Leon Goldberg, Jai Kohli","Unassigned, Unassigned","Unassigned, Unassigned",,,,,,,,,,"06/361,824",
612292,81-T-012,0137-001,"4,534,362","06/375,883",0137-001,US Utility,Method and Apparatus for Detection of Fertility,5/7/1982,5/7/1982,8/13/2002,8/13/1985,,,Expired - Inactive,Gebhard Schumacher,*United States,"Marshall, Gerstein & Borun",, ,21007/6228,US,5/7/1982, ,"Gebhard Schumacher, Stephen Usala","Unassigned, Unassigned","Unassigned, Unassigned",,,,,,,,,,"06/375,883",
