,Unnamed: 0,Agreement_ID,Parties,Agreement_Type,Manager,Responsible_Manager,Title,Number_of_Parties,In_or_Out,Reference_Number,Status,Status_Date,Effective_Date,Agreement_Term,Term_Date,Sign_Date,Field_Of_Use,Equity,Reimbursable_Expenses,Technologies,Division_Department,Investigators,Last_Related_Update,Tech_ID,Category,Total Revenue,Revenue_Generating,Invention_ID,Lead_Inventor,_merge
10,242.0,05-A-034,"Riverain Technologies, LLC",Non-Exclusive License - All Fields,"Juggernauth, Anne","Stocco, Teana",Riverain Medical Group non-exclusive 2005,1.0,Out,AGR11964,Active,2015-10-15 00:00:00,2005-06-15 00:00:00,-1.0,2027-02-11 00:00:00,2005-06-15 00:00:00,"Computer-aided diagnosis and detection of diseases and disorders of the chest, including, but not limited to, the thoracic and cardiovascular regions, and the colon and orthopedic areas in humans using two dimensional analogue or digital x-ray images",No,Yes,"02-T-032, 03-T-010, 03-T-088, 03-T-089, 05-T-006, 06-T-029, 97-T-052, 98-T-006, 98-T-007, 98-T-014, 98-T-017, 99-T-045","Biological Sciences Division (BSD), Comprehensive Cancer Center, Radiology","Kunio Doi, Takayuki Ishida, Shigehiko Katsuragawa, Qiang Li, Heber MacMahon, Junji Shiraishi, Kenji Suzuki, Xin-Wei Xu",2021-11-11 19:32:11, 97-T-052,,,0.0,,,left_only
11,70.0,01-A-029,"Hologic, Inc. (fka R2 Technology)",Non-Exclusive License - All Fields,"Juggernauth, Anne","Stocco, Teana","R2 Technology, Inc. Non-Exclusive w/ Equity 2001",1.0,Out,AGR11763,Active,2005-03-23 00:00:00,2001-01-01 00:00:00,-1.0,2022-06-17 00:00:00,2005-03-23 00:00:00,Computer-aided diagnosis of diseases and/or disorders in human,Yes,Yes,"00-T-008, 00-T-010, 00-T-060, 01-T-008, 01-T-016, 97-T-048, 97-T-052, 97-T-055, 97-T-056, 97-T-058, 98-T-006, 98-T-007, 98-T-014, 98-T-015, 98-T-017, 99-T-045, 99-T-048","Biological Sciences Division (BSD), Comprehensive Cancer Center, Radiology","Yali Amit, Masahito Aoyama, Samuel Armato, Ulrich Bick, Kunio Doi, Maryellen Giger, Kenneth Gilhuijs, Zhimin Huo, Takayuki Ishida, Shigehiko Katsuragawa, Matthew Kupinski, Li Lan, Qiang Li, Heber MacMahon, Nobuyuk Nakamori, Carl Vyborny, Xin-Wei Xu, Hiroyuki Yoshida",2022-01-26 09:23:36, 97-T-055,,,0.0,,,left_only
12,70.0,01-A-029,"Hologic, Inc. (fka R2 Technology)",Non-Exclusive License - All Fields,"Juggernauth, Anne","Stocco, Teana","R2 Technology, Inc. Non-Exclusive w/ Equity 2001",1.0,Out,AGR11763,Active,2005-03-23 00:00:00,2001-01-01 00:00:00,-1.0,2022-06-17 00:00:00,2005-03-23 00:00:00,Computer-aided diagnosis of diseases and/or disorders in human,Yes,Yes,"00-T-008, 00-T-010, 00-T-060, 01-T-008, 01-T-016, 97-T-048, 97-T-052, 97-T-055, 97-T-056, 97-T-058, 98-T-006, 98-T-007, 98-T-014, 98-T-015, 98-T-017, 99-T-045, 99-T-048","Biological Sciences Division (BSD), Comprehensive Cancer Center, Radiology","Yali Amit, Masahito Aoyama, Samuel Armato, Ulrich Bick, Kunio Doi, Maryellen Giger, Kenneth Gilhuijs, Zhimin Huo, Takayuki Ishida, Shigehiko Katsuragawa, Matthew Kupinski, Li Lan, Qiang Li, Heber MacMahon, Nobuyuk Nakamori, Carl Vyborny, Xin-Wei Xu, Hiroyuki Yoshida",2022-01-26 09:23:36, 97-T-056,,,0.0,,,left_only
13,70.0,01-A-029,"Hologic, Inc. (fka R2 Technology)",Non-Exclusive License - All Fields,"Juggernauth, Anne","Stocco, Teana","R2 Technology, Inc. Non-Exclusive w/ Equity 2001",1.0,Out,AGR11763,Active,2005-03-23 00:00:00,2001-01-01 00:00:00,-1.0,2022-06-17 00:00:00,2005-03-23 00:00:00,Computer-aided diagnosis of diseases and/or disorders in human,Yes,Yes,"00-T-008, 00-T-010, 00-T-060, 01-T-008, 01-T-016, 97-T-048, 97-T-052, 97-T-055, 97-T-056, 97-T-058, 98-T-006, 98-T-007, 98-T-014, 98-T-015, 98-T-017, 99-T-045, 99-T-048","Biological Sciences Division (BSD), Comprehensive Cancer Center, Radiology","Yali Amit, Masahito Aoyama, Samuel Armato, Ulrich Bick, Kunio Doi, Maryellen Giger, Kenneth Gilhuijs, Zhimin Huo, Takayuki Ishida, Shigehiko Katsuragawa, Matthew Kupinski, Li Lan, Qiang Li, Heber MacMahon, Nobuyuk Nakamori, Carl Vyborny, Xin-Wei Xu, Hiroyuki Yoshida",2022-01-26 09:23:36, 97-T-058,,,0.0,,,left_only
14,70.0,01-A-029,"Hologic, Inc. (fka R2 Technology)",Non-Exclusive License - All Fields,"Juggernauth, Anne","Stocco, Teana","R2 Technology, Inc. Non-Exclusive w/ Equity 2001",1.0,Out,AGR11763,Active,2005-03-23 00:00:00,2001-01-01 00:00:00,-1.0,2022-06-17 00:00:00,2005-03-23 00:00:00,Computer-aided diagnosis of diseases and/or disorders in human,Yes,Yes,"00-T-008, 00-T-010, 00-T-060, 01-T-008, 01-T-016, 97-T-048, 97-T-052, 97-T-055, 97-T-056, 97-T-058, 98-T-006, 98-T-007, 98-T-014, 98-T-015, 98-T-017, 99-T-045, 99-T-048","Biological Sciences Division (BSD), Comprehensive Cancer Center, Radiology","Yali Amit, Masahito Aoyama, Samuel Armato, Ulrich Bick, Kunio Doi, Maryellen Giger, Kenneth Gilhuijs, Zhimin Huo, Takayuki Ishida, Shigehiko Katsuragawa, Matthew Kupinski, Li Lan, Qiang Li, Heber MacMahon, Nobuyuk Nakamori, Carl Vyborny, Xin-Wei Xu, Hiroyuki Yoshida",2022-01-26 09:23:36, 98-T-006,,,0.0,,,left_only
15,242.0,05-A-034,"Riverain Technologies, LLC",Non-Exclusive License - All Fields,"Juggernauth, Anne","Stocco, Teana",Riverain Medical Group non-exclusive 2005,1.0,Out,AGR11964,Active,2015-10-15 00:00:00,2005-06-15 00:00:00,-1.0,2027-02-11 00:00:00,2005-06-15 00:00:00,"Computer-aided diagnosis and detection of diseases and disorders of the chest, including, but not limited to, the thoracic and cardiovascular regions, and the colon and orthopedic areas in humans using two dimensional analogue or digital x-ray images",No,Yes,"02-T-032, 03-T-010, 03-T-088, 03-T-089, 05-T-006, 06-T-029, 97-T-052, 98-T-006, 98-T-007, 98-T-014, 98-T-017, 99-T-045","Biological Sciences Division (BSD), Comprehensive Cancer Center, Radiology","Kunio Doi, Takayuki Ishida, Shigehiko Katsuragawa, Qiang Li, Heber MacMahon, Junji Shiraishi, Kenji Suzuki, Xin-Wei Xu",2021-11-11 19:32:11, 98-T-006,,,0.0,,,left_only
16,70.0,01-A-029,"Hologic, Inc. (fka R2 Technology)",Non-Exclusive License - All Fields,"Juggernauth, Anne","Stocco, Teana","R2 Technology, Inc. Non-Exclusive w/ Equity 2001",1.0,Out,AGR11763,Active,2005-03-23 00:00:00,2001-01-01 00:00:00,-1.0,2022-06-17 00:00:00,2005-03-23 00:00:00,Computer-aided diagnosis of diseases and/or disorders in human,Yes,Yes,"00-T-008, 00-T-010, 00-T-060, 01-T-008, 01-T-016, 97-T-048, 97-T-052, 97-T-055, 97-T-056, 97-T-058, 98-T-006, 98-T-007, 98-T-014, 98-T-015, 98-T-017, 99-T-045, 99-T-048","Biological Sciences Division (BSD), Comprehensive Cancer Center, Radiology","Yali Amit, Masahito Aoyama, Samuel Armato, Ulrich Bick, Kunio Doi, Maryellen Giger, Kenneth Gilhuijs, Zhimin Huo, Takayuki Ishida, Shigehiko Katsuragawa, Matthew Kupinski, Li Lan, Qiang Li, Heber MacMahon, Nobuyuk Nakamori, Carl Vyborny, Xin-Wei Xu, Hiroyuki Yoshida",2022-01-26 09:23:36, 98-T-007,,,0.0,,,left_only
17,242.0,05-A-034,"Riverain Technologies, LLC",Non-Exclusive License - All Fields,"Juggernauth, Anne","Stocco, Teana",Riverain Medical Group non-exclusive 2005,1.0,Out,AGR11964,Active,2015-10-15 00:00:00,2005-06-15 00:00:00,-1.0,2027-02-11 00:00:00,2005-06-15 00:00:00,"Computer-aided diagnosis and detection of diseases and disorders of the chest, including, but not limited to, the thoracic and cardiovascular regions, and the colon and orthopedic areas in humans using two dimensional analogue or digital x-ray images",No,Yes,"02-T-032, 03-T-010, 03-T-088, 03-T-089, 05-T-006, 06-T-029, 97-T-052, 98-T-006, 98-T-007, 98-T-014, 98-T-017, 99-T-045","Biological Sciences Division (BSD), Comprehensive Cancer Center, Radiology","Kunio Doi, Takayuki Ishida, Shigehiko Katsuragawa, Qiang Li, Heber MacMahon, Junji Shiraishi, Kenji Suzuki, Xin-Wei Xu",2021-11-11 19:32:11, 98-T-007,,,0.0,,,left_only
18,70.0,01-A-029,"Hologic, Inc. (fka R2 Technology)",Non-Exclusive License - All Fields,"Juggernauth, Anne","Stocco, Teana","R2 Technology, Inc. Non-Exclusive w/ Equity 2001",1.0,Out,AGR11763,Active,2005-03-23 00:00:00,2001-01-01 00:00:00,-1.0,2022-06-17 00:00:00,2005-03-23 00:00:00,Computer-aided diagnosis of diseases and/or disorders in human,Yes,Yes,"00-T-008, 00-T-010, 00-T-060, 01-T-008, 01-T-016, 97-T-048, 97-T-052, 97-T-055, 97-T-056, 97-T-058, 98-T-006, 98-T-007, 98-T-014, 98-T-015, 98-T-017, 99-T-045, 99-T-048","Biological Sciences Division (BSD), Comprehensive Cancer Center, Radiology","Yali Amit, Masahito Aoyama, Samuel Armato, Ulrich Bick, Kunio Doi, Maryellen Giger, Kenneth Gilhuijs, Zhimin Huo, Takayuki Ishida, Shigehiko Katsuragawa, Matthew Kupinski, Li Lan, Qiang Li, Heber MacMahon, Nobuyuk Nakamori, Carl Vyborny, Xin-Wei Xu, Hiroyuki Yoshida",2022-01-26 09:23:36, 98-T-014,,,0.0,,,left_only
19,242.0,05-A-034,"Riverain Technologies, LLC",Non-Exclusive License - All Fields,"Juggernauth, Anne","Stocco, Teana",Riverain Medical Group non-exclusive 2005,1.0,Out,AGR11964,Active,2015-10-15 00:00:00,2005-06-15 00:00:00,-1.0,2027-02-11 00:00:00,2005-06-15 00:00:00,"Computer-aided diagnosis and detection of diseases and disorders of the chest, including, but not limited to, the thoracic and cardiovascular regions, and the colon and orthopedic areas in humans using two dimensional analogue or digital x-ray images",No,Yes,"02-T-032, 03-T-010, 03-T-088, 03-T-089, 05-T-006, 06-T-029, 97-T-052, 98-T-006, 98-T-007, 98-T-014, 98-T-017, 99-T-045","Biological Sciences Division (BSD), Comprehensive Cancer Center, Radiology","Kunio Doi, Takayuki Ishida, Shigehiko Katsuragawa, Qiang Li, Heber MacMahon, Junji Shiraishi, Kenji Suzuki, Xin-Wei Xu",2021-11-11 19:32:11, 98-T-014,,,0.0,,,left_only
20,70.0,01-A-029,"Hologic, Inc. (fka R2 Technology)",Non-Exclusive License - All Fields,"Juggernauth, Anne","Stocco, Teana","R2 Technology, Inc. Non-Exclusive w/ Equity 2001",1.0,Out,AGR11763,Active,2005-03-23 00:00:00,2001-01-01 00:00:00,-1.0,2022-06-17 00:00:00,2005-03-23 00:00:00,Computer-aided diagnosis of diseases and/or disorders in human,Yes,Yes,"00-T-008, 00-T-010, 00-T-060, 01-T-008, 01-T-016, 97-T-048, 97-T-052, 97-T-055, 97-T-056, 97-T-058, 98-T-006, 98-T-007, 98-T-014, 98-T-015, 98-T-017, 99-T-045, 99-T-048","Biological Sciences Division (BSD), Comprehensive Cancer Center, Radiology","Yali Amit, Masahito Aoyama, Samuel Armato, Ulrich Bick, Kunio Doi, Maryellen Giger, Kenneth Gilhuijs, Zhimin Huo, Takayuki Ishida, Shigehiko Katsuragawa, Matthew Kupinski, Li Lan, Qiang Li, Heber MacMahon, Nobuyuk Nakamori, Carl Vyborny, Xin-Wei Xu, Hiroyuki Yoshida",2022-01-26 09:23:36, 98-T-015,,,0.0,,,left_only
21,70.0,01-A-029,"Hologic, Inc. (fka R2 Technology)",Non-Exclusive License - All Fields,"Juggernauth, Anne","Stocco, Teana","R2 Technology, Inc. Non-Exclusive w/ Equity 2001",1.0,Out,AGR11763,Active,2005-03-23 00:00:00,2001-01-01 00:00:00,-1.0,2022-06-17 00:00:00,2005-03-23 00:00:00,Computer-aided diagnosis of diseases and/or disorders in human,Yes,Yes,"00-T-008, 00-T-010, 00-T-060, 01-T-008, 01-T-016, 97-T-048, 97-T-052, 97-T-055, 97-T-056, 97-T-058, 98-T-006, 98-T-007, 98-T-014, 98-T-015, 98-T-017, 99-T-045, 99-T-048","Biological Sciences Division (BSD), Comprehensive Cancer Center, Radiology","Yali Amit, Masahito Aoyama, Samuel Armato, Ulrich Bick, Kunio Doi, Maryellen Giger, Kenneth Gilhuijs, Zhimin Huo, Takayuki Ishida, Shigehiko Katsuragawa, Matthew Kupinski, Li Lan, Qiang Li, Heber MacMahon, Nobuyuk Nakamori, Carl Vyborny, Xin-Wei Xu, Hiroyuki Yoshida",2022-01-26 09:23:36, 98-T-017,,,0.0,,,left_only
22,242.0,05-A-034,"Riverain Technologies, LLC",Non-Exclusive License - All Fields,"Juggernauth, Anne","Stocco, Teana",Riverain Medical Group non-exclusive 2005,1.0,Out,AGR11964,Active,2015-10-15 00:00:00,2005-06-15 00:00:00,-1.0,2027-02-11 00:00:00,2005-06-15 00:00:00,"Computer-aided diagnosis and detection of diseases and disorders of the chest, including, but not limited to, the thoracic and cardiovascular regions, and the colon and orthopedic areas in humans using two dimensional analogue or digital x-ray images",No,Yes,"02-T-032, 03-T-010, 03-T-088, 03-T-089, 05-T-006, 06-T-029, 97-T-052, 98-T-006, 98-T-007, 98-T-014, 98-T-017, 99-T-045","Biological Sciences Division (BSD), Comprehensive Cancer Center, Radiology","Kunio Doi, Takayuki Ishida, Shigehiko Katsuragawa, Qiang Li, Heber MacMahon, Junji Shiraishi, Kenji Suzuki, Xin-Wei Xu",2021-11-11 19:32:11, 98-T-017,,,0.0,,,left_only
23,70.0,01-A-029,"Hologic, Inc. (fka R2 Technology)",Non-Exclusive License - All Fields,"Juggernauth, Anne","Stocco, Teana","R2 Technology, Inc. Non-Exclusive w/ Equity 2001",1.0,Out,AGR11763,Active,2005-03-23 00:00:00,2001-01-01 00:00:00,-1.0,2022-06-17 00:00:00,2005-03-23 00:00:00,Computer-aided diagnosis of diseases and/or disorders in human,Yes,Yes,"00-T-008, 00-T-010, 00-T-060, 01-T-008, 01-T-016, 97-T-048, 97-T-052, 97-T-055, 97-T-056, 97-T-058, 98-T-006, 98-T-007, 98-T-014, 98-T-015, 98-T-017, 99-T-045, 99-T-048","Biological Sciences Division (BSD), Comprehensive Cancer Center, Radiology","Yali Amit, Masahito Aoyama, Samuel Armato, Ulrich Bick, Kunio Doi, Maryellen Giger, Kenneth Gilhuijs, Zhimin Huo, Takayuki Ishida, Shigehiko Katsuragawa, Matthew Kupinski, Li Lan, Qiang Li, Heber MacMahon, Nobuyuk Nakamori, Carl Vyborny, Xin-Wei Xu, Hiroyuki Yoshida",2022-01-26 09:23:36, 99-T-045,,,0.0,,,left_only
24,242.0,05-A-034,"Riverain Technologies, LLC",Non-Exclusive License - All Fields,"Juggernauth, Anne","Stocco, Teana",Riverain Medical Group non-exclusive 2005,1.0,Out,AGR11964,Active,2015-10-15 00:00:00,2005-06-15 00:00:00,-1.0,2027-02-11 00:00:00,2005-06-15 00:00:00,"Computer-aided diagnosis and detection of diseases and disorders of the chest, including, but not limited to, the thoracic and cardiovascular regions, and the colon and orthopedic areas in humans using two dimensional analogue or digital x-ray images",No,Yes,"02-T-032, 03-T-010, 03-T-088, 03-T-089, 05-T-006, 06-T-029, 97-T-052, 98-T-006, 98-T-007, 98-T-014, 98-T-017, 99-T-045","Biological Sciences Division (BSD), Comprehensive Cancer Center, Radiology","Kunio Doi, Takayuki Ishida, Shigehiko Katsuragawa, Qiang Li, Heber MacMahon, Junji Shiraishi, Kenji Suzuki, Xin-Wei Xu",2021-11-11 19:32:11, 99-T-045,,,0.0,,,left_only
