,Tech_ID,Title,Serial_Number,Patent_Number,Country,Country_WIPO_ID,File_Date,Issue_Date,Publication_Number,Date_Actually_Filed,Internal_ID,Entity_Size,Priority_Date,Status_Date,Is_Priority,Last_Related_Update,Status,Lawfirm,Attorney,Legal_Reference_Number,Inventors,Application_Type,Created_Date,Docket_No,Expire_Date,IP_Manager,Lead_Inventor,Licensing_Manager,Primary_Key,Publication_Date,Technology_Key,Licensed
10,00-T-008,Method System and Computer Readable Medium for the Two-Dimensional and Three-Dimensional Detection of Lesions in Computed Tomography Scans,"60/176,304", ,*United States,US,1/18/2000,, ,1/18/2000,0813-001,Small,1/18/2000,,Yes,4/28/2022,Expired - Inactive,"Oblon, Spivak, McClelland, Maier & Neustadt","Kuesters, Eckhard", ,"Samuel Armato, Maryellen Giger, Heber MacMahon",Provisional,4/12/2018,0813-001,1/18/2001,"Ginsburg, Eric",Samuel Armato,"Juggernauth, Anne",612557,,581847,Yes
11,00-T-008,"Method, System and Computer Readable Medium for the Two-Dimensional and Three-Dimensional Detection of Lesions in Computed Tomography Scans","09/759,333","6,898,303",*United States,US,1/16/2001,5/24/2005,US-2002-0006216-A1,1/16/2001,0813-002,Small,1/18/2000,,No,4/28/2022,Abandoned,"Oblon, Spivak, McClelland, Maier & Neustadt",, ,"Samuel Armato, Maryellen Giger, Heber MacMahon",US Utility,4/12/2018,0813-002,1/18/2020,"Ginsburg, Eric",Samuel Armato,"Juggernauth, Anne",612583,1/17/2002,581847,Yes
12,00-T-008,"Method, System and Computer Readable Medium for the Two-Dimensional and Three-Dimensional Detection of Lung Nodules in Computed Tomography Scans",PCT/US01/01478, ,*United States,US,1/18/2001,,WO01054065,1/18/2001,0813-003,Small,1/18/2000,,Yes,4/28/2022,Expired - Inactive,"Oblon, Spivak, McClelland, Maier & Neustadt","Kuesters, Eckhard", ,"Samuel Armato, Maryellen Giger, Heber MacMahon",PCT,4/12/2018,0813-003,7/18/2002,"Ginsburg, Eric",Samuel Armato,"Juggernauth, Anne",612584,7/26/2001,581847,Yes
13,00-T-008,"Method, System and Computer Readable Medium for the Two-Dimensional and Three-Dimensional Detection of Lungs Nodules in Computed Tomography Scans",01942767.3EPO, ,European Patent Office (EPO),EP,1/18/2001,,1249006,7/8/2002,0813-006,Small,1/18/2000,,No,4/28/2022,Abandoned,"Oblon, Spivak, McClelland, Maier & Neustadt",, ,"Samuel Armato, Maryellen Giger, Heber MacMahon",Nationalized PCT,4/12/2018,0813-006,1/18/2021,"Ginsburg, Eric",Samuel Armato,"Juggernauth, Anne",612585,10/16/2002,581847,Yes
14,00-T-008,"Method, System and Computer Readable Medium for the Two-Dimensional and Three-Dimensional Selection of lesions in Computer Tomography Scans",2001-554287, ,Japan,JP,1/18/2001,,2003-524489,7/18/2002,0813-005,Small,1/18/2000,,No,4/28/2022,Abandoned,"Oblon, Spivak, McClelland, Maier & Neustadt",, ,"Samuel Armato, Maryellen Giger, Heber MacMahon",Nationalized PCT,4/12/2018,0813-005,1/18/2021,"Ginsburg, Eric",Samuel Armato,"Juggernauth, Anne",612586,8/19/2003,581847,Yes
15,00-T-010,Automated Method and System for the Segmentation of Lung Regions in Computed Tomography Scans,"60/176,297", ,*United States,US,1/18/2000,, ,1/18/2000,0816-001,Small,1/18/2000,,Yes,4/28/2022,Expired - Inactive,"Oblon, Spivak, McClelland, Maier & Neustadt","Kuesters, Eckhard", ,"Samuel Armato, Maryellen Giger, Heber MacMahon",Provisional,4/12/2018,0816-001,1/18/2001,"Ginsburg, Eric",Samuel Armato,"Juggernauth, Anne",610650,,581849,Yes
16,00-T-010,Automated Method and System for the Segmentation of lung Regions in Computed Tomography Scans,"09/760,854", ,*United States,US,1/17/2001,,US-2002-009215-A1,1/17/2001,0816-002,Small,1/18/2000,5/15/2006,No,4/28/2022,Abandoned,"Oblon, Spivak, McClelland, Maier & Neustadt",, ,"Samuel Armato, Maryellen Giger, Heber MacMahon",US Utility,4/12/2018,0816-002,,"Ginsburg, Eric",Samuel Armato,"Juggernauth, Anne",610651,1/24/2002,581849,Yes
17,00-T-010,Automated Method and System for the Segmentation of Lung Regions in Computed Tomography Scans,PCT/US01/01479, ,*United States,US,1/18/2001,,WO 01/54066 A1,1/18/2001,0816-003,Small,1/18/2000,,No,4/28/2022,Expired - Inactive,"Oblon, Spivak, McClelland, Maier & Neustadt","Kuesters, Eckhard", ,"Samuel Armato, Maryellen Giger, Heber MacMahon",PCT,4/12/2018,0816-003,7/18/2002,"Ginsburg, Eric",Samuel Armato,"Juggernauth, Anne",610652,7/26/2001,581849,Yes
18,00-T-010,Automated Method and System for the Segmentation of Lung REgions in Computed Tomography Scans,10194946.4DE, ,Germany,DE,1/18/2001,, ,6/16/2003,0816-005,Small,1/18/2000,,No,4/28/2022,Abandoned,"Oblon, Spivak, McClelland, Maier & Neustadt",, ,"Samuel Armato, Maryellen Giger, Heber MacMahon",Validated EPO,4/12/2018,0816-005,1/18/2021,"Ginsburg, Eric",Samuel Armato,"Juggernauth, Anne",610653,,581849,Yes
19,00-T-010,Automated Method and System for the Segmentation of Lung REgions in Computed Tomography Scans,2001-554288, ,Japan,JP,1/18/2001,,2003-523801,7/18/2002,0816-006,Small,1/18/2000,,No,4/28/2022,Abandoned,"Oblon, Spivak, McClelland, Maier & Neustadt",, ,"Samuel Armato, Maryellen Giger, Heber MacMahon",Nationalized PCT,4/12/2018,0816-006,1/18/2021,"Ginsburg, Eric",Samuel Armato,"Juggernauth, Anne",610654,8/12/2003,581849,Yes
20,00-T-010,Automated Method and System for the Segmentation of Lung Regions in Computed Tomography Scans.,01805098.0, ,China,CN,1/18/2001,,CN 1418353A,9/7/2002,0816-004,Small,1/18/2000,,No,4/28/2022,Abandoned,"Oblon, Spivak, McClelland, Maier & Neustadt",, ,"Samuel Armato, Maryellen Giger, Heber MacMahon",Nationalized PCT,4/12/2018,0816-004,1/18/2021,"Ginsburg, Eric",Samuel Armato,"Juggernauth, Anne",610655,5/14/2003,581849,Yes
21,00-T-011,Fast Reconstruction with Uniform Noise Properties in Half-Scan Tomography,"09/503,609","6,324,242",*United States,US,10/5/1999,11/27/2001, ,2/11/2000,0734-003,Small,4/9/1999,,No,4/28/2022,Abandoned,Welsh & Katz,, ,Xiaochuan Pan,Continuation in Part,4/12/2018,0734-003,4/9/2019,"Cox, Ben",Xiaochuan Pan,"Smith, Dane",611571,,581850,Yes
22,00-T-015,"A Firbil Blocking Peptide, A Method for Preventing Fibril  Formation","60/165,424", ,*United States,US,11/14/1999,, ,11/14/1999,0820-001,Small,11/14/1999,,Yes,4/28/2022,Expired - Inactive,Cherskov & Flaynik,, ,"Yair Argon, David Davis, Rosemarie Raffen, Fred Stevens",Provisional,4/12/2018,0820-001,11/14/2000,"Peace, Shane",Yair Argon,"Tennant, Thelma",610203,,581854,Yes
23,00-T-015,"Fibril-Blocking Peptide, A Method for Preventing Fibril Formation","09/712,819","6,878,521",*United States,US,11/13/2000,4/12/2005, ,11/13/2000,0820-002,None,11/14/1999,5/13/2013,No,4/28/2022,Abandoned,Cherskov & Flaynik,, ,"Yair Argon, David Davis, Rosemarie Raffen, Fred Stevens",US Utility,4/12/2018,0820-002,11/13/2020,"Peace, Shane",Yair Argon,"Tennant, Thelma",611577,,581854,Yes
24,00-T-016,Flavopiridol Drug Combinations and methods with Reduced Side Effects,PCT/US01/12526, ,*United States,US,4/12/2001,,WO 01/80896 A2,4/12/2001,0821-002,Small,4/21/2000,,No,4/28/2022,Expired - Inactive,Norton Rose Fulbright US LLP,"Shishima, Gina", ,"Federico Innocenti, Lalitha Iyer, Mark Ratain",PCT,4/12/2018,0821-002,10/21/2002,"Sun, Han",Mark Ratain,"Tennant, Thelma",611595,11/1/2001,581855,Yes
25,00-T-016,Flavopiridol Drug Combinations and Methods with Reduced Side Effects,"09/835,082", ,*United States,US,4/12/2001,,US-2002-016293-A1,4/12/2001,0821-003,Small,4/21/2000,,No,4/28/2022,Abandoned,Norton Rose Fulbright US LLP,"Shishima, Gina", ,"Federico Innocenti, Lalitha Iyer, Mark Ratain",Continuation,4/12/2018,0821-003,4/21/2020,"Sun, Han",Mark Ratain,"Tennant, Thelma",611596,2/7/2002,581855,Yes
26,00-T-016,Flavopiridol Drug Combinations and Methods with Reduced Side-Effects,"09/553,829", ,*United States,US,4/21/2000,, ,4/21/2000,0821-001,Small,4/21/2000,,Yes,4/28/2022,Abandoned,Norton Rose Fulbright US LLP,, ,"Federico Innocenti, Lalitha Iyer, Mark Ratain",US Utility,4/12/2018,0821-001,4/21/2020,"Sun, Han",Mark Ratain,"Tennant, Thelma",611597,,581855,Yes
27,00-T-018,Method System and Computer Readable Medium for Identifying Chest Radiographs Using Image Mapping and Template Matching Techniques,"60/193,072", ,*United States,US,3/28/2000,, ,3/28/2000,0823-001,Large,3/28/2000,,Yes,4/28/2022,Expired - Inactive,"Oblon, Spivak, McClelland, Maier & Neustadt","Kuesters, Eckhard", ,"Hidetaka Arimura, Kunio Doi, Shigehiko Katsuragawa, Junji Morishita",Provisional,4/12/2018,0823-001,3/28/2001,"Ginsburg, Eric",Kunio Doi,"Juggernauth, Anne",612556,,581857,Yes
28,00-T-018,"Method, system and computer readable medium for identifying chest radiographs using image mapping and template matching techniques","09/816,217","6,836,558",*United States,US,3/26/2001,12/28/2004,US-2002-0021829-A1,3/26/2001,0823-002,Large,3/28/2000,,No,4/28/2022,Abandoned,"Oblon, Spivak, McClelland, Maier & Neustadt",, ,"Hidetaka Arimura, Kunio Doi, Shigehiko Katsuragawa, Junji Morishita",US Utility,4/12/2018,0823-002,3/28/2020,"Ginsburg, Eric",Kunio Doi,"Juggernauth, Anne",612575,2/21/2002,581857,Yes
29,00-T-018,"Method, System and Computer Readable Medium for Identifying Chest Radiographs Using Image Mapping and Template Matching Techniques",PCT/US01/08626, ,*United States,US,3/28/2001,,WO 01/73682 A1,3/28/2001,0823-003,Small,3/28/2000,,No,4/28/2022,Expired - Inactive,"Oblon, Spivak, McClelland, Maier & Neustadt","Kuesters, Eckhard", ,"Hidetaka Arimura, Kunio Doi, Shigehiko Katsuragawa, Junji Morishita",PCT,4/12/2018,0823-003,9/28/2002,"Ginsburg, Eric",Kunio Doi,"Juggernauth, Anne",612576,10/4/2001,581857,Yes
30,00-T-018,"Method, System and Computer Readable Medium for Identifying Chest Radiographs Using Image Mapping and Template Matching Techniques",2001-571325, ,Japan,JP,3/28/2001,,2004-509655,9/20/2002,0823-004,Large,3/28/2000,,No,4/28/2022,Abandoned,"Oblon, Spivak, McClelland, Maier & Neustadt",, ,"Hidetaka Arimura, Kunio Doi, Shigehiko Katsuragawa, Junji Morishita",Nationalized PCT,4/12/2018,0823-004,3/28/2021,"Ginsburg, Eric",Kunio Doi,"Juggernauth, Anne",612577,4/2/2004,581857,Yes
31,00-T-019,Modulation of Endocrine Systems and Food Intake by Green Tea Epigallocatechin Gallate,"60/183,668", ,*United States,US,2/18/2000,, ,2/18/2000,0824-001,Small,2/18/2000,,Yes,4/28/2022,Expired - Inactive,"Cesari and McKenna, LLP","Tsao, Y. Rocky", ,"Richard Hiipakka, Yung-Hsi Kao, Shutsung Liao",Provisional,4/12/2018,0824-001,2/18/2001,"Dembo, Anna",Richard Hiipakka,"Tennant, Thelma",613479,,581858,Yes
32,00-T-019,Polydyroxylated Benxene-Containing Compounds,"2,371,419", ,Canada,CA,2/15/2001,, ,8/17/2005,0824-005,Large,2/18/2000,,No,4/28/2022,Abandoned,"Cesari and McKenna, LLP",, ,"Richard Hiipakka, Yung-Hsi Kao, Shutsung Liao",Nationalized PCT,4/12/2018,0824-005,2/15/2021,"Dembo, Anna",Shutsung Liao,"Tennant, Thelma",614071,,581858,Yes
33,00-T-019,Polyhydroxylated Benzene-Containing Compounds,"09/783,901","6,610,749",*United States,US,2/15/2001,8/26/2003,US-2003-139477-A1,2/15/2001,0824-002,Small,2/18/2000,,No,4/28/2022,Abandoned,"Cesari and McKenna, LLP","Tsao, Y. Rocky", ,"Richard Hiipakka, Yung-Hsi Kao, Shutsung Liao",US Utility,4/12/2018,0824-002,2/18/2020,"Dembo, Anna",Shutsung Liao,"Tennant, Thelma",614072,7/24/2003,581858,Yes
34,00-T-019,Polyhydroxylated Benzene-Containing Compounds,PCT/US01/04915, ,*United States,US,2/15/2001,,WO 01/60319 A3,2/15/2001,0824-003,Small,2/18/2000,,No,4/28/2022,Expired - Inactive,"Cesari and McKenna, LLP","Tsao, Y. Rocky", ,"Richard Hiipakka, Yung-Hsi Kao, Shutsung Liao",PCT,4/12/2018,0824-003,8/18/2002,"Dembo, Anna",Shutsung Liao,"Tennant, Thelma",614073,8/23/2001,581858,Yes
35,00-T-019,Polyhydroxylated Benzene-Containing Compounds,01910769.7EPO, ,European Patent Office (EPO),EP,2/15/2001,,EP 1 214 070 A2,5/8/2002,0824-004,Small,2/18/2000,,No,4/28/2022,Abandoned,"Cesari and McKenna, LLP",, ,"Richard Hiipakka, Yung-Hsi Kao, Shutsung Liao",Nationalized PCT,4/12/2018,0824-004,2/15/2021,"Dembo, Anna",Shutsung Liao,"Tennant, Thelma",614074,6/19/2002,581858,Yes
36,00-T-019,Polyhydroxylated Benzene-Containing Compounds,38341/01,783361,Australia,AU,2/15/2001,2/2/2006, ,3/18/2005,0824-006,Small,2/18/2000,,No,4/28/2022,Abandoned,"Cesari and McKenna, LLP",, ,"Richard Hiipakka, Yung-Hsi Kao, Shutsung Liao",Continuation,4/12/2018,0824-006,2/15/2021,"Dembo, Anna",Richard Hiipakka,"Tennant, Thelma",614075,,581858,Yes
37,00-T-019,Polyhydroxylated Benzene-Containing Compounds,90103580,I284038,"Taiwan, Province of China",TW,2/15/2001,7/21/2007, ,10/13/2003,0824-008,Small,2/18/2000,,No,4/28/2022,Abandoned,"Cesari and McKenna, LLP",, ,"Richard Hiipakka, Yung-Hsi Kao, Shutsung Liao",Validated EPO,4/12/2018,0824-008,2/15/2021,"Dembo, Anna",Shutsung Liao,"Tennant, Thelma",614076,,581858,Yes
38,00-T-019,Polyhydroxylated Benzene-Containing Compounds,"146,010", ,Israel,IL,2/15/2001,,IL-146010-A0,1/4/2002,0824-009,None,2/18/2000,,No,4/28/2022,Abandoned,"Cesari and McKenna, LLP",, ,"Richard Hiipakka, Yung-Hsi Kao, Shutsung Liao",Nationalized PCT,4/12/2018,0824-009,2/15/2021,"Dembo, Anna",Shutsung Liao,"Tennant, Thelma",614077,7/25/2002,581858,Yes
39,00-T-019,Polyhydroxylated Benzene-Containing Compounds,01800259.5, ,China,CN,2/15/2001,, ,2/14/2003,0824-010,Small,2/18/2000,,No,4/28/2022,Abandoned,"Cesari and McKenna, LLP","Tsao, Y. Rocky", ,"Richard Hiipakka, Yung-Hsi Kao, Shutsung Liao",Divisional,4/12/2018,0824-010,2/14/2023,"Dembo, Anna",Shutsung Liao,"Tennant, Thelma",614078,,581858,Yes
40,00-T-019,Polyhydroxylated Benzene-Containing Compounds,03105259.2, ,Hong Kong,HK,2/15/2001,,1053055 CN1392796A,7/22/2003,0824-011,Small,2/18/2000,,No,4/28/2022,Abandoned,"Cesari and McKenna, LLP","Tsao, Y. Rocky", ,"Richard Hiipakka, Yung-Hsi Kao, Shutsung Liao",Nationalized PCT,4/12/2018,0824-011,7/22/2023,"Dembo, Anna",Richard Hiipakka,"Tennant, Thelma",614079,10/10/2003,581858,Yes
41,00-T-019,Polyhydroxylated Benzene-Containing Compounds,"10/644,266", ,*United States,US,2/15/2001,, ,8/20/2003,0824-012,Small,2/18/2000,,No,4/28/2022,Abandoned,"Cesari and McKenna, LLP","Tsao, Y. Rocky", ,"Richard Hiipakka, Yung-Hsi Kao, Shutsung Liao",Continuation,4/12/2018,0824-012,2/18/2020,"Dembo, Anna",Shutsung Liao,"Tennant, Thelma",614080,2/15/2000,581858,Yes
42,00-T-019,Polyhydroxylated Benzene-Containing Compounds Useful in Reducing Endocrine Levels,515442,515442,New Zealand,NZ,2/15/2001,3/26/2004,NZ515442A,9/20/2002,0824-007,Small,2/18/2000,,No,4/28/2022,Abandoned,"Cesari and McKenna, LLP",, ,"Richard Hiipakka, Yung-Hsi Kao, Shutsung Liao",Validated EPO,4/12/2018,0824-007,2/15/2021,"Dembo, Anna",Shutsung Liao,"Tennant, Thelma",614081,3/26/2004,581858,Yes
43,00-T-026,Transgenic Plants Containing Heat Shock Protein,"60/190,769", ,*United States,US,3/20/2000,, ,3/20/2000,0831-001,Large,3/20/2000,,No,6/8/2022,Expired - Inactive,Norton Rose Fulbright US LLP,, ,"Susan Lindquist, Christine Queitsch, Elizabeth Vierling",Provisional,4/12/2018,0831-001,3/20/2001,"Ginsburg, Eric",Susan Lindquist,"Tennant, Thelma",614933,,581865,Yes
44,00-T-026,Transgenic Plants Containing Heat Shock Protein,"60/198,116", ,*United States,US,4/18/2000,, ,4/18/2000,0831-002,Large,4/18/2000,,Yes,6/8/2022,Expired - Inactive,Norton Rose Fulbright US LLP,"Sistrunk, Melissa", ,"Susan Lindquist, Christine Queitsch, Elizabeth Vierling",Provisional,4/12/2018,0831-002,4/18/2001,"Ginsburg, Eric",Susan Lindquist,"Tennant, Thelma",614934,,581865,Yes
45,00-T-026,Transgenic Plants Containing Heat Shock Protein,PCT/US01/08836, ,*United States,US,3/20/2001,,WO 01/70929 A2,3/20/2001,0831-004,Large,4/18/2000,,No,6/8/2022,Expired - Inactive,Norton Rose Fulbright US LLP,"Sistrunk, Melissa", ,"Susan Lindquist, Christine Queitsch, Elizabeth Vierling",PCT,4/12/2018,0831-004,9/20/2002,"Ginsburg, Eric",Susan Lindquist,"Tennant, Thelma",614935,9/27/2001,581865,Yes
46,00-T-026,Transgenic Plants Containing Heat Shock Proteins,"09/812,350", ,*United States,US,3/20/2001,,US-2002-053097-A1,3/20/2001,0831-003,Large,4/18/2000,,No,6/8/2022,Abandoned,Norton Rose Fulbright US LLP,, ,"Susan Lindquist, Christine Queitsch, Elizabeth Vierling",US Utility,4/12/2018,0831-003,4/18/2020,"Ginsburg, Eric",Susan Lindquist,"Tennant, Thelma",614936,5/2/2002,581865,Yes
47,00-T-027,Liver X Receptor Agonists,"60/288,643", ,*United States,US,5/3/2001,, ,5/3/2001,0832-001,Small,5/3/2001,,Yes,4/28/2022,Expired - Inactive,"Cesari and McKenna, LLP","Tsao, Y. Rocky", ,"Shutsung Liao, Ching Song",Provisional,4/12/2018,0832-001,5/3/2002,"Dembo, Anna",Shutsung Liao,"Tennant, Thelma",612087,,581866,Yes
48,00-T-027,Liver X Receptor Agonists,2002303553, ,Australia,AU,5/2/2002,, ,2/11/2004,0832-002,None,5/3/2001,,No,4/28/2022,Abandoned,"Cesari and McKenna, LLP",, ,"Shutsung Liao, Ching Song",Nationalized PCT,4/12/2018,0832-002,5/2/2022,"Dembo, Anna",Shutsung Liao,"Tennant, Thelma",612088,,581866,Yes
49,00-T-027,Liver X Receptor Agonists,02731581.1EPO,1392713,European Patent Office (EPO),EP,5/2/2002,10/17/2007,1392713,2/11/2004,0832-003,Small,5/3/2001,,No,4/28/2022,Expired - Inactive,"Cesari and McKenna, LLP",, ,"Shutsung Liao, Ching Song",Nationalized PCT,4/12/2018,0832-003,5/2/2022,"Dembo, Anna",Shutsung Liao,"Tennant, Thelma",612089,3/3/2004,581866,Yes
50,00-T-027,Liver X Receptor Agonists,"2,446,314","2,446,314",Canada,CA,5/2/2002,2/22/2011, ,2/11/2004,0832-004,Large,5/3/2001,,No,4/28/2022,Abandoned,"Cesari and McKenna, LLP",, ,"Shutsung Liao, Ching Song",Nationalized PCT,4/12/2018,0832-004,5/2/2022,"Dembo, Anna",Shutsung Liao,"Tennant, Thelma",612090,,581866,Yes
51,00-T-027,Liver X Receptor Agonists,02813426.5,ZL 02813426.5,China,CN,5/2/2002,1/9/2008,CN 1525777A,2/11/2004,0832-005,Small,5/3/2001,,No,4/28/2022,Abandoned,"Cesari and McKenna, LLP",, ,"Shutsung Liao, Ching Song",Nationalized PCT,4/12/2018,0832-005,5/2/2022,"Dembo, Anna",Shutsung Liao,"Tennant, Thelma",612091,2/23/2005,581866,Yes
52,00-T-027,Liver X Receptor Agonists,"10/137,695","7,012,069",*United States,US,5/2/2002,3/14/2006,US-2002-193357-A1,5/2/2002,0832-006,Small,5/3/2001,,No,4/28/2022,Abandoned,"Cesari and McKenna, LLP",, ,"Qing Dai, Shutsung Liao, Ching Song",US Utility,4/12/2018,0832-006,5/2/2022,"Dembo, Anna",Shutsung Liao,"Tennant, Thelma",612092,12/19/2002,581866,Yes
53,00-T-027,Liver X Receptor Agonists,PCT/US02/13594, ,*United States,US,5/2/2002,,WO 02/090375 A3,5/2/2002,0832-007,Small,5/3/2001,,No,4/28/2022,Expired - Inactive,"Cesari and McKenna, LLP","Tsao, Y. Rocky", ,"Shutsung Liao, Ching Song",PCT,4/12/2018,0832-007,11/3/2003,"Dembo, Anna",Shutsung Liao,"Tennant, Thelma",612093,11/14/2002,581866,Yes
54,00-T-027,Liver X Receptor Agonists,2002-587452,4309661,Japan,JP,5/2/2002,5/15/2009,2005-507588,2/11/2004,0832-008,Small,5/3/2001,,No,4/28/2022,Abandoned,"Cesari and McKenna, LLP",, ,"Shutsung Liao, Ching Song",Nationalized PCT,4/12/2018,0832-008,5/2/2022,"Dembo, Anna",Ching Song,"Tennant, Thelma",612094,3/24/2005,581866,Yes
55,00-T-027,Liver X Receptor Agonists,91109293, ,"Taiwan, Province of China",TW,5/2/2002,, ,5/23/2002,0832-009,Small,5/3/2001,,No,4/28/2022,Abandoned,"Cesari and McKenna, LLP",, ,"Shutsung Liao, Ching Song","Foreign, Non-PCT",4/12/2018,0832-009,5/3/2022,"Dembo, Anna",Shutsung Liao,"Tennant, Thelma",612095,,581866,Yes
56,00-T-027,Liver X Receptor Agonists,"11/375,699", ,*United States,US,5/2/2002,, ,3/14/2006,0832-010,Small,5/3/2001,,No,4/28/2022,Abandoned,"Cesari and McKenna, LLP",, ,"Qing Dai, Shutsung Liao, Ching Song",Continuation,4/12/2018,0832-010,5/2/2022,"Dembo, Anna",Shutsung Liao,"Tennant, Thelma",612096,,581866,Yes
57,00-T-027,Liver X Receptor Agonists,02731581.1FR,1392713,France,FR,5/2/2002,10/17/2007,1392713,10/17/2007,0832-011,Small,5/3/2001,,No,4/28/2022,Abandoned,"Cesari and McKenna, LLP",, ,"Qing Dai, Shutsung Liao, Ching Song",Validated EPO,4/12/2018,0832-011,5/2/2022,"Dembo, Anna",Shutsung Liao,"Tennant, Thelma",612097,3/3/2004,581866,Yes
58,00-T-027,Liver X Receptor Agonists,02731581.1AT,375994,Austria,AT,5/2/2002,6/10/2008,1392713,2/1/2008,0832-012,Small,5/3/2001,,No,4/28/2022,Abandoned,"Cesari and McKenna, LLP",, ,"Qing Dai, Shutsung Liao, Ching Song",Validated EPO,4/12/2018,0832-012,5/2/2022,"Dembo, Anna",Shutsung Liao,"Tennant, Thelma",612098,3/3/2004,581866,Yes
